muni_idx,prev_ESH,prev_AHA,diferencia_pp,cve_ent,cve_mun,nomgeo,suprimir_privacidad
322,,,,10,016,Nombre de Dios,TRUE
326,,,,10,039,Nuevo Ideal,TRUE
327,,,,10,021,Peñón Blanco,TRUE
331,,,,11,019,Jerécuaro,TRUE
332,0.665805023444257,0.463683948167942,-20.2121075276315,11,020,León,FALSE
334,0.511816028275487,0.302218054033591,-20.9597974241896,11,023,Pénjamo,FALSE
336,,,,11,039,Tarimoro,TRUE
338,,,,11,041,Uriangato,TRUE
339,,,,11,002,Acámbaro,TRUE
340,,,,11,012,Cuerámaro,TRUE
341,,,,11,013,Doctor Mora,TRUE
342,0.691139721034266,0.534518074379494,-15.6621646654772,11,014,Dolores Hidalgo Cuna de la Independencia Nacional,FALSE
343,,,,11,022,Ocampo,TRUE
345,0.6585376120699,0.39477163474139,-26.3765977328511,11,030,San Felipe,FALSE
347,0.693802059032945,0.563021177782666,-13.078088125028,11,007,Celaya,FALSE
348,0.5653079096343,0.374341531708333,-19.0966377925967,11,027,Salamanca,FALSE
349,,,,11,035,Santa Cruz de Juventino Rosas,TRUE
350,,,,11,011,Cortazar,TRUE
351,,,,11,031,San Francisco del Rincón,TRUE
352,,,,11,025,Purísima del Rincón,TRUE
353,,,,11,026,Romita,TRUE
354,,,,11,028,Salvatierra,TRUE
355,,,,11,029,San Diego de la Unión,TRUE
356,,,,11,032,San José Iturbide,TRUE
357,,,,11,033,San Luis de la Paz,TRUE
359,0.632374994747187,0.353226595335874,-27.9148399411312,11,037,Silao de la Victoria,FALSE
360,0.638290627601762,0.510114797011676,-12.8175830590086,11,042,Valle de Santiago,FALSE
361,,,,11,043,Victoria,TRUE
363,,,,11,044,Villagrán,TRUE
364,,,,11,046,Yuriria,TRUE
365,,,,11,001,Abasolo,TRUE
366,,,,11,003,San Miguel de Allende,TRUE
367,0.585316579013062,0.284806243665565,-30.0510335347497,11,004,Apaseo el Alto,FALSE
368,0.63796755073695,0.425368124354408,-21.2599426382543,11,005,Apaseo el Grande,FALSE
370,,,,11,008,Manuel Doblado,TRUE
371,,,,11,009,Comonfort,TRUE
373,0.693738301955813,0.557448668681135,-13.6289633274678,11,015,Guanajuato,FALSE
374,,,,11,016,Huanímaro,TRUE
