muni_idx,prev_principal_ponderado,prev_sensibilidad_sin_ponderar,n,dif_sin_menos_principal_pp,quintil_principal,quintil_sin_ponderar,cambia_quintil,estrato_n,suprimir_privacidad
288,0.632389608380906,0.723106646014223,72,9.0717037633317,3,5,TRUE,n>=30,FALSE
289,0.845849193361807,0.792738832856259,22,-5.3110360505548,5,5,FALSE,n=10-29,FALSE
290,0.543641947244634,0.624287688313552,36,8.0645741068918,1,2,TRUE,n>=30,FALSE
291,,,,,,,,,TRUE
292,0.75589179777238,0.679370551205565,13,-7.65212465668147,5,4,TRUE,n=10-29,FALSE
293,0.621477284243523,0.635792230966132,17,1.4314946722609,2,3,TRUE,n=10-29,FALSE
299,,,,,,,,,TRUE
303,,,,,,,,,TRUE
305,0.637521816453599,0.633665329226411,46,-0.385648722718768,3,3,FALSE,n>=30,FALSE
308,,,,,,,,,TRUE
309,,,,,,,,,TRUE
312,0.722353433167297,0.689215445202046,75,-3.31379879652509,4,4,FALSE,n>=30,FALSE
314,0.651682953515703,0.656437774070814,12,0.475482055511078,3,3,FALSE,n=10-29,FALSE
316,0.697786190400465,0.702800815563449,29,0.501462516298345,4,4,FALSE,n=10-29,FALSE
321,,,,,,,,,TRUE
322,0.805998219953305,0.764656764351852,10,-4.13414556014522,5,5,FALSE,n=10-29,FALSE
326,,,,,,,,,TRUE
327,,,,,,,,,TRUE
331,0.487529751949242,0.565218399789863,11,7.76886478406216,1,1,FALSE,n=10-29,FALSE
332,0.75394546327734,0.69448666936178,179,-5.94587939155604,5,4,TRUE,n>=30,FALSE
334,0.700492111539414,0.65785214508205,26,-4.26399664573641,4,3,TRUE,n=10-29,FALSE
336,0.709890493998007,0.687145312030127,11,-2.27451819678801,4,4,FALSE,n=10-29,FALSE
338,0.593835438392493,0.58208921942745,17,-1.17462189650424,2,2,FALSE,n=10-29,FALSE
339,0.699504905300349,0.670179945333484,12,-2.93249599668647,4,4,FALSE,n=10-29,FALSE
340,,,,,,,,,TRUE
341,0.569305945991778,0.62517899508857,11,5.58730490967925,2,2,FALSE,n=10-29,FALSE
342,0.80209198912307,0.727567081511367,21,-7.45249076117026,5,5,FALSE,n=10-29,FALSE
343,0.593668591054041,0.628856749223466,11,3.51881581694253,2,3,TRUE,n=10-29,FALSE
345,0.601066188067506,0.584648385550534,20,-1.6417802516972,2,2,FALSE,n=10-29,FALSE
347,0.599608436447995,0.635517947201593,55,3.59095107535977,2,3,TRUE,n>=30,FALSE
348,0.473874386070725,0.576324142889526,25,10.24497568188,1,2,TRUE,n=10-29,FALSE
349,,,,,,,,,TRUE
350,,,,,,,,,TRUE
351,,,,,,,,,TRUE
352,0.621352123355853,0.631221542359385,12,0.986941900353178,2,3,TRUE,n=10-29,FALSE
353,,,,,,,,,TRUE
354,,,,,,,,,TRUE
355,,,,,,,,,TRUE
356,0.672476502162141,0.627346721045426,14,-4.51297811167152,3,3,FALSE,n=10-29,FALSE
357,0.500171731694328,0.546578427548923,13,4.64066958545958,1,1,FALSE,n=10-29,FALSE
359,0.787201061399178,0.715843965971555,25,-7.13570954276233,5,5,FALSE,n=10-29,FALSE
360,0.57720430328184,0.589793656014673,21,1.25893527328332,2,2,FALSE,n=10-29,FALSE
361,,,,,,,,,TRUE
363,0.579730879829377,0.566835671426795,15,-1.28952084025817,2,1,TRUE,n=10-29,FALSE
364,,,,,,,,,TRUE
365,,,,,,,,,TRUE
366,0.406940262068191,0.56038244948165,14,15.3442187413459,1,1,FALSE,n=10-29,FALSE
367,0.754225386768518,0.66658920039266,13,-8.76361863758588,5,3,TRUE,n=10-29,FALSE
368,0.643636543805391,0.638981872321324,18,-0.465467148406706,3,3,FALSE,n=10-29,FALSE
370,,,,,,,,,TRUE
371,,,,,,,,,TRUE
373,0.698663436720604,0.678796035274462,29,-1.98674014461415,4,4,FALSE,n=10-29,FALSE
374,0.552359861794739,0.594862245541966,11,4.25023837472273,2,2,FALSE,n=10-29,FALSE
375,0.711401706220524,0.668102326355317,60,-4.32993798652066,4,4,FALSE,n>=30,FALSE
376,0.698157695278046,0.655263435527023,11,-4.28942597510235,4,3,TRUE,n=10-29,FALSE
378,,,,,,,,,TRUE
385,,,,,,,,,TRUE
388,,,,,,,,,TRUE
389,,,,,,,,,TRUE
392,,,,,,,,,TRUE
393,,,,,,,,,TRUE
395,0.545265543580741,0.570361976171821,13,2.50964325910797,1,1,FALSE,n=10-29,FALSE
398,,,,,,,,,TRUE
399,,,,,,,,,TRUE
402,,,,,,,,,TRUE
404,0.631760898938938,0.60465242295116,39,-2.71084759877777,3,2,TRUE,n>=30,FALSE
412,,,,,,,,,TRUE
415,,,,,,,,,TRUE
423,,,,,,,,,TRUE
427,0.772759011024139,0.75455143634142,13,-1.82075746827191,5,5,FALSE,n=10-29,FALSE
435,,,,,,,,,TRUE
437,,,,,,,,,TRUE
440,0.611600681412614,0.64568078280672,11,3.40801013941061,2,3,TRUE,n=10-29,FALSE
450,0.517906296462122,0.561948452323734,10,4.40421558616116,1,1,FALSE,n=10-29,FALSE
455,,,,,,,,,TRUE
463,,,,,,,,,TRUE
466,,,,,,,,,TRUE
