muni_idx,obs,pred_bym2,pred_naive,pred_naive_global,n,n_efectivo,vecinos_retenidos,estrato_vecinos,suprimir_privacidad
229,0.902733543996993,0.917997851144802,0.801200284820203,0.809635758707129,17,11.9715845955692,0,0,FALSE
231,,,,,,,,,TRUE
234,,,,,,,,,TRUE
235,,,,,,,,,TRUE
237,0.910785136192534,0.914528884060324,0.801938453902787,0.809635758707129,10,6.933898319322,2,1-2,FALSE
241,,,,,,,,,TRUE
242,,,,,,,,,TRUE
244,,,,,,,,,TRUE
259,0.904810214671113,0.900590242848262,0.801938453902787,0.809635758707129,40,23.033771691141,2,1-2,FALSE
260,,,,,,,,,TRUE
262,0.92130313082185,0.816467856835593,0.81030031101233,0.809635758707129,51,37.6903018679014,0,0,FALSE
273,,,,,,,,,TRUE
275,,,,,,,,,TRUE
276,0.900030372312472,0.64103429979215,0.801200284820203,0.809635758707129,27,4.75124417292491,4,3+,FALSE
277,0.593615640855534,0.656097036203776,0.813267592668092,0.809635758707129,12,5.75259194608367,5,3+,FALSE
278,0.894316425457548,0.789408206578662,0.820749321398908,0.809635758707129,13,7.70364785205929,4,3+,FALSE
279,0.700466847356797,0.718945746557323,0.801938453902787,0.809635758707129,106,13.612383600551,6,3+,FALSE
280,0.957302163092249,0.825229566987766,0.820749321398908,0.809635758707129,19,9.78049730809282,2,1-2,FALSE
281,0.859468559368214,0.859140851126708,0.801200284820203,0.809635758707129,32,19.1776788466818,4,3+,FALSE
282,0.871813116595173,0.878017615654904,0.801938453902787,0.809635758707129,12,2.70532907107539,4,3+,FALSE
283,,,,,,,,,TRUE
284,,,,,,,,,TRUE
285,0.515504688382809,0.701449708356349,0.801200284820203,0.809635758707129,25,7.95111850151241,5,3+,FALSE
286,0.835161397162241,0.795785954520488,0.820749321398908,0.809635758707129,16,4.7454221689899,4,3+,FALSE
287,0.611716213940533,0.744778725033953,0.81030031101233,0.809635758707129,14,7.29587198997743,5,3+,FALSE
288,0.770353944957224,0.852815142227987,0.801938453902787,0.809635758707129,55,23.6052894224476,7,3+,FALSE
289,0.823758792803524,0.840568503524672,0.801200284820203,0.809635758707129,17,6.19260476481191,4,3+,FALSE
290,0.894931226629517,0.86459544713569,0.820749321398908,0.809635758707129,22,12.398719878751,2,1-2,FALSE
291,,,,,,,,,TRUE
292,0.956873592522231,0.752767140322383,0.801938453902787,0.809635758707129,12,9.34029235570893,2,1-2,FALSE
293,0.785227879506466,0.924519315589463,0.801200284820203,0.809635758707129,13,10.3077904096986,1,1-2,FALSE
299,,,,,,,,,TRUE
303,,,,,,,,,TRUE
305,0.863256343282944,0.814233917121343,0.801938453902787,0.809635758707129,26,9.46886522879449,4,3+,FALSE
308,,,,,,,,,TRUE
309,,,,,,,,,TRUE
312,0.917228751575532,0.846659799397311,0.81030031101233,0.809635758707129,56,41.7985503548724,3,3+,FALSE
314,,,,,,,,,TRUE
316,1,0.86981620556828,0.820749321398908,0.809635758707129,26,18.0028457585651,5,3+,FALSE
321,,,,,,,,,TRUE
322,,,,,,,,,TRUE
326,,,,,,,,,TRUE
327,,,,,,,,,TRUE
331,,,,,,,,,TRUE
332,0.742370467868927,0.803136173075074,0.813267592668092,0.809635758707129,134,79.6096279920219,4,3+,FALSE
334,0.5765473080767,0.8099980504489,0.81030031101233,0.809635758707129,17,6.61846066000872,2,1-2,FALSE
336,0.91601233215407,0.897680822517572,0.813267592668092,0.809635758707129,10,8.05257624231491,4,3+,FALSE
338,0.568525010035273,0.741359736297235,0.801938453902787,0.809635758707129,11,9.54619677102392,1,1-2,FALSE
339,0.833311191721514,0.872164365584036,0.813267592668092,0.809635758707129,10,7.87956026595831,1,1-2,FALSE
340,,,,,,,,,TRUE
341,,,,,,,,,TRUE
342,0.710288916792526,0.80283318019078,0.820749321398908,0.809635758707129,19,14.9691630942226,5,3+,FALSE
343,,,,,,,,,TRUE
345,0.82922137928521,0.831631716642322,0.820749321398908,0.809635758707129,14,9.98823700025153,5,3+,FALSE
347,0.894275629547533,0.837427660628233,0.801200284820203,0.809635758707129,37,27.0269589976705,5,3+,FALSE
348,0.788127747976672,0.843623325474882,0.801200284820203,0.809635758707129,13,10.5222846211534,9,3+,FALSE
349,,,,,,,,,TRUE
350,,,,,,,,,TRUE
351,,,,,,,,,TRUE
352,,,,,,,,,TRUE
353,,,,,,,,,TRUE
354,,,,,,,,,TRUE
355,,,,,,,,,TRUE
356,,,,,,,,,TRUE
357,,,,,,,,,TRUE
