muni_idx,obs,pred_bym2,pred_naive,pred_naive_global,n,n_efectivo,vecinos_retenidos,estrato_vecinos,suprimir_privacidad
1224,,,,,,,,,TRUE
1248,,,,,,,,,TRUE
1276,,,,,,,,,TRUE
1346,,,,,,,,,TRUE
1356,,,,,,,,,TRUE
1374,,,,,,,,,TRUE
1433,,,,,,,,,TRUE
1474,,,,,,,,,TRUE
1475,,,,,,,,,TRUE
1483,,,,,,,,,TRUE
1500,,,,,,,,,TRUE
1512,,,,,,,,,TRUE
1515,,,,,,,,,TRUE
1517,,,,,,,,,TRUE
1520,,,,,,,,,TRUE
1531,,,,,,,,,TRUE
1565,,,,,,,,,TRUE
1566,,,,,,,,,TRUE
1569,,,,,,,,,TRUE
1592,0.537770932530062,0.591735823377902,0.648467319417765,0.640306708611525,12,9.68079857238279,0,0,FALSE
1598,,,,,,,,,TRUE
1602,,,,,,,,,TRUE
1608,,,,,,,,,TRUE
1620,,,,,,,,,TRUE
1623,,,,,,,,,TRUE
1626,,,,,,,,,TRUE
1629,,,,,,,,,TRUE
1632,,,,,,,,,TRUE
1640,,,,,,,,,TRUE
1654,,,,,,,,,TRUE
1666,,,,,,,,,TRUE
1678,,,,,,,,,TRUE
1695,,,,,,,,,TRUE
1735,,,,,,,,,TRUE
1751,,,,,,,,,TRUE
1756,,,,,,,,,TRUE
1757,0.669954515832129,0.686738857726331,0.635710864041502,0.640306708611525,16,12.6311666957989,4,3+,FALSE
1758,,,,,,,,,TRUE
1763,,,,,,,,,TRUE
1774,,,,,,,,,TRUE
1780,,,,,,,,,TRUE
1785,,,,,,,,,TRUE
1792,,,,,,,,,TRUE
1798,,,,,,,,,TRUE
1800,,,,,,,,,TRUE
1803,,,,,,,,,TRUE
1805,,,,,,,,,TRUE
1807,,,,,,,,,TRUE
1808,,,,,,,,,TRUE
1810,0.626976410114767,0.634340803589737,0.642382924876446,0.640306708611525,19,15.9720345627833,4,3+,FALSE
1812,,,,,,,,,TRUE
1814,,,,,,,,,TRUE
1815,0.72625807220385,0.633376236497911,0.635710864041502,0.640306708611525,59,13.9392486587861,6,3+,FALSE
1817,,,,,,,,,TRUE
1819,0.911284864714978,0.69256860642852,0.637025391793251,0.640306708611525,10,8.03613414803798,6,3+,FALSE
1821,,,,,,,,,TRUE
1823,0.930399207336372,0.437490817940966,0.635710864041502,0.640306708611525,14,5.58261336653466,4,3+,FALSE
1824,0.514338849003355,0.634146595130844,0.642382924876446,0.640306708611525,25,13.1349202281621,1,1-2,FALSE
1825,0.573157528909388,0.544813977038209,0.635710864041502,0.640306708611525,16,13.4241116564149,0,0,FALSE
1827,,,,,,,,,TRUE
1829,,,,,,,,,TRUE
1830,,,,,,,,,TRUE
1831,,,,,,,,,TRUE
1832,,,,,,,,,TRUE
1833,,,,,,,,,TRUE
1834,,,,,,,,,TRUE
1839,0.801213560247549,0.685165816971549,0.637025391793251,0.640306708611525,16,12.1677053802985,0,0,FALSE
1846,,,,,,,,,TRUE
1848,0.772358634689067,0.697945202177353,0.637829134524193,0.640306708611525,11,8.66262480077431,1,1-2,FALSE
1853,,,,,,,,,TRUE
1856,0.856697846385901,0.695591905357541,0.635710864041502,0.640306708611525,36,16.7028517225404,2,1-2,FALSE
1865,,,,,,,,,TRUE
1869,,,,,,,,,TRUE
1876,,,,,,,,,TRUE
1882,,,,,,,,,TRUE
1887,,,,,,,,,TRUE
1890,,,,,,,,,TRUE
1891,0.718758738727652,0.572464517400722,0.648467319417765,0.640306708611525,11,8.01752769955259,2,1-2,FALSE
1892,,,,,,,,,TRUE
1894,0.834372718838952,0.621466345913234,0.637025391793251,0.640306708611525,12,8.0728020764953,2,1-2,FALSE
1897,0.66951550005499,0.615940541122914,0.648467319417765,0.640306708611525,31,18.9865179956221,1,1-2,FALSE
1898,,,,,,,,,TRUE
1901,,,,,,,,,TRUE
1902,,,,,,,,,TRUE
1903,,,,,,,,,TRUE
1904,0.625911264125651,0.629846984761802,0.635710864041502,0.640306708611525,27,13.8480405247363,1,1-2,FALSE
1905,,,,,,,,,TRUE
1907,0.299006814678821,0.628206928754667,0.637829134524193,0.640306708611525,15,9.89545605811866,3,3+,FALSE
1908,0.726983475091488,0.640357965030965,0.642382924876446,0.640306708611525,38,21.1635860300805,3,3+,FALSE
1909,,,,,,,,,TRUE
1910,0.585251115253088,0.619999456414507,0.642382924876446,0.640306708611525,31,21.7981169717811,2,1-2,FALSE
1913,,,,,,,,,TRUE
1924,,,,,,,,,TRUE
1925,0.411550506411133,0.617039464131157,0.637025391793251,0.640306708611525,19,11.9709811679698,1,1-2,FALSE
1928,,,,,,,,,TRUE
1932,,,,,,,,,TRUE
1933,,,,,,,,,TRUE
1935,0.619769027994462,0.622657484613813,0.642382924876446,0.640306708611525,13,11.2691825885469,2,1-2,FALSE
1940,0.630570609006573,0.58301018101402,0.635710864041502,0.640306708611525,44,32.0306715894936,2,1-2,FALSE
1942,,,,,,,,,TRUE
