muni_id,prevalencia,ci_l,ci_u,n,cv_pct,suprimir_privacidad
01_001,0.72225215193613,0.662199009329222,0.782305294543038,88,4.24219691014805,FALSE
01_002,,,,,,TRUE
01_004,,,,,,TRUE
01_005,,,,,,TRUE
01_006,,,,,,TRUE
01_009,0.538419612292162,0.50338200821167,0.573457216372654,17,3.32014811577769,FALSE
02_001,0.461676072132705,0.108619668962829,0.814732475302581,10,39.0167108101797,FALSE
02_002,0.608689774124973,0.503543343627833,0.713836204622113,27,8.8133792104302,FALSE
02_003,,,,,,TRUE
02_004,0.703635239013211,0.649246671153593,0.75802380687283,32,3.94370090887543,FALSE
02_005,,,,,,TRUE
02_006,,,,,,TRUE
03_001,0.486163860438769,0.236122266790335,0.736205454087204,36,26.2405851274566,FALSE
03_002,,,,,,TRUE
03_003,0.811652493396438,0.710286606553657,0.913018380239219,57,6.37185120803173,FALSE
03_008,0.750862445842867,0.558445262535864,0.94327962914987,26,13.074569495787,FALSE
04_001,,,,,,TRUE
04_002,0.526110116768314,0.326990779469199,0.725229454067429,50,19.3099306369613,FALSE
04_003,0.458921548232398,0.276662550517938,0.641180545946858,31,20.2625666426768,FALSE
04_004,,,,,,TRUE
04_007,,,,,,TRUE
04_008,,,,,,TRUE
04_009,,,,,,TRUE
04_011,,,,,,TRUE
04_012,,,,,,TRUE
05_002,,,,,,TRUE
05_017,0.731173811812782,0.542903134444752,0.919444489180812,17,13.1372960153979,FALSE
05_018,,,,,,TRUE
05_024,,,,,,TRUE
05_025,,,,,,TRUE
05_026,,,,,,TRUE
05_027,,,,,,TRUE
05_030,0.805842914707134,0.613048863441329,0.998636965972939,18,12.2063878797094,FALSE
05_033,,,,,,TRUE
05_035,0.795567771631451,0.619596822496291,0.97153872076661,23,11.2851600704512,FALSE
05_038,,,,,,TRUE
06_001,,,,,,TRUE
06_002,,,,,,TRUE
06_003,0.519822094818139,0.461436187039224,0.578208002597054,11,5.73056219725554,FALSE
06_004,,,,,,TRUE
06_005,,,,,,TRUE
06_007,0.760521392304892,0.522452620016343,0.998590164593441,23,15.9711035823431,FALSE
06_008,,,,,,TRUE
06_009,0.777474663266737,0.544555396861984,1.01039392967149,15,15.284917441717,FALSE
06_010,0.743121875250072,0.501537313553445,0.984706436946699,12,16.5864353536325,FALSE
07_013,,,,,,TRUE
07_019,,,,,,TRUE
07_020,,,,,,TRUE
07_027,,,,,,TRUE
07_031,,,,,,TRUE
07_039,,,,,,TRUE
07_040,,,,,,TRUE
07_046,,,,,,TRUE
07_052,,,,,,TRUE
07_057,,,,,,TRUE
07_061,,,,,,TRUE
07_076,,,,,,TRUE
07_078,,,,,,TRUE
07_087,,,,,,TRUE
07_089,,,,,,TRUE
07_094,,,,,,TRUE
07_099,,,,,,TRUE
07_101,,,,,,TRUE
07_103,,,,,,TRUE
07_107,,,,,,TRUE
07_108,,,,,,TRUE
08_002,,,,,,TRUE
08_006,,,,,,TRUE
08_011,,,,,,TRUE
08_013,,,,,,TRUE
08_017,,,,,,TRUE
08_019,0.726877476837856,0.612121379171651,0.841633574504061,34,8.05486911992924,FALSE
08_021,0.420100899775133,0.0529258736703567,0.787275925879909,14,44.5926674026423,FALSE
08_023,,,,,,TRUE
