"muni_idx","obs","pred_bym2","pred_naive","n","n_efectivo","vecinos_retenidos","estrato_vecinos"
1,0.166776383861519,0.277087264615479,0.419234165399452,8,4.29246799263874,2,"1-2"
3,0.561411398467686,0.393046958439887,0.419234165399452,162,28.6661532042599,3,"3+"
4,0.0833628010911262,0.289115539090703,0.419234165399452,5,3.46720130473352,2,"1-2"
6,0.203870271664623,0.332711663066197,0.419234165399452,14,8.26428809505715,2,"1-2"
9,0.60624912430372,0.385571794791389,0.419234165399452,12,11.0822131578962,4,"3+"
10,0.425380704157065,0.395138151842419,0.419234165399452,31,16.2708777781177,2,"1-2"
12,0.485065424212349,0.381373172544573,0.419234165399452,12,8.97099406387503,2,"1-2"
13,0.578554885539868,0.394941623381827,0.419234165399452,101,27.074814482906,2,"1-2"
14,0.272788617548703,0.40854875191637,0.419234165399452,34,26.0913144496674,5,"3+"
15,0.0986330621647931,0.322392075401365,0.419234165399452,10,6.83052561477923,2,"1-2"
17,0.307772535465625,0.344789158944965,0.419234165399452,72,47.8241396154871,2,"1-2"
18,0.72068155851895,0.469529914926327,0.419234165399452,7,6.02048036789341,1,"1-2"
19,0.356627203000663,0.335613003848004,0.419234165399452,22,16.0301320565374,2,"1-2"
21,0.339437987824449,0.393326580153985,0.419234165399452,90,68.7094297282855,1,"1-2"
22,0.371884680236003,0.397954971087271,0.419234165399452,129,26.4611786206605,2,"1-2"
23,0.522661733279609,0.387258743677596,0.419234165399452,64,44.8510104886812,2,"1-2"
24,0.528034727411878,0.34622035297227,0.419234165399452,65,15.116237187779,7,"3+"
25,0.506070827844858,0.570410306467288,0.419234165399452,7,6.2001045268071,2,"1-2"
28,0.155326406254294,0.296114517764146,0.419234165399452,38,26.0588120608404,3,"3+"
29,0.370307878260261,0.461723546075147,0.419234165399452,12,8.98663840792043,2,"1-2"
30,0.656467607244043,0.59629238833654,0.419234165399452,3,2.87111160212219,0,"0"
31,0.459390118624442,0.376027204049082,0.419234165399452,120,82.1633815066508,2,"1-2"
32,0,0.303331268421639,0.419234165399452,5,3.1266571302858,6,"3+"
33,0.145596042761116,0.350165729218013,0.419234165399452,30,21.4829174574089,1,"1-2"
35,0.342607623529863,0.286933265775444,0.419234165399452,28,14.8531250383375,2,"1-2"
36,0.0979249715081045,0.353009590870279,0.419234165399452,12,10.4602407495483,2,"1-2"
38,0.354146735935826,0.32682634276543,0.419234165399452,39,23.3030073739896,4,"3+"
39,0.321757595894851,0.423236178377227,0.419234165399452,10,6.59719858491236,0,"0"
41,0.328829391780916,0.452859339715145,0.419234165399452,66,32.716204300158,4,"3+"
45,0.51052347946383,0.404274022526428,0.419234165399452,14,11.0481740678203,3,"3+"
46,0.105346608588143,0.252585210298815,0.419234165399452,4,2.31317950587606,1,"1-2"
47,0.543263934101227,0.220611885549976,0.419234165399452,12,10.4522056633614,4,"3+"
48,0.686343367936118,0.477872499477772,0.419234165399452,6,4.70072032400265,1,"1-2"
50,0.361111735407362,0.365394890333745,0.419234165399452,53,34.4759271829643,2,"1-2"
54,0.378640886651735,0.334565952346197,0.419234165399452,19,12.293835541945,1,"1-2"
56,0.263561606214156,0.425203574600038,0.419234165399452,12,8.80450301619129,2,"1-2"
70,0.107597620337116,0.311032795911968,0.419234165399452,14,12.0586534853215,2,"1-2"
76,0.28386803971389,0.30172351295478,0.419234165399452,26,18.4482750428806,3,"3+"
77,0.609452720152748,0.535482958432894,0.419234165399452,4,3.36697377588728,3,"3+"
78,0.214822488053781,0.496064988972565,0.419234165399452,4,3.90687323160639,4,"3+"
