muni_id,prevalencia,ci_l,ci_u,n,cv_pct,suprimir_privacidad
01_001,0.790535884832409,0.715074699020714,0.865997070644104,100,4.87019068263154,FALSE
01_002,,,,,,TRUE
01_004,,,,,,TRUE
01_005,,,,,,TRUE
01_006,,,,,,TRUE
01_009,0.982439204282245,0.960434170833455,1.00444423773103,18,1.14277380555449,FALSE
02_001,1,1,1,10,0,FALSE
02_002,0.97465446409292,0.929639788583918,1.01966913960192,28,2.35639111338153,FALSE
02_003,,,,,,TRUE
02_004,0.939426544744114,0.842237725029477,1.03661536445875,39,5.27834057754613,FALSE
02_005,,,,,,TRUE
02_006,,,,,,TRUE
03_001,0.95007569306187,0.880150078456553,1.02000130766719,39,3.7551043819812,FALSE
03_002,,,,,,TRUE
03_003,0.851747682576309,0.679184070035233,1.02431129511739,62,10.3367066633427,FALSE
03_008,0.775661432997049,0.628733792090678,0.92258907390342,34,9.66440755026845,FALSE
04_001,,,,,,TRUE
04_002,0.867429363541974,0.770530632643378,0.964328094440571,56,5.69938372936991,FALSE
04_003,0.833621590254547,0.705051046300201,0.962192134208892,35,7.8689440232957,FALSE
04_004,,,,,,TRUE
04_007,,,,,,TRUE
04_008,,,,,,TRUE
04_009,0.851938948101612,0.808965034441485,0.894912861761739,10,2.57359593688993,FALSE
04_011,,,,,,TRUE
04_012,,,,,,TRUE
05_002,,,,,,TRUE
05_017,0.914642764786269,0.81505210135979,1.01423342821275,18,5.5553452045911,FALSE
05_018,,,,,,TRUE
05_024,,,,,,TRUE
05_025,,,,,,TRUE
05_026,,,,,,TRUE
05_027,,,,,,TRUE
05_030,0.809978743721877,0.629614764597075,0.99034272284668,21,11.3610929968526,FALSE
05_033,,,,,,TRUE
05_035,0.949671443768887,0.884926652185961,1.01441623535181,25,3.4783668759133,FALSE
05_038,,,,,,TRUE
06_001,,,,,,TRUE
06_002,0.717066642050309,0.363922010075577,1.07021127402504,11,25.1267904646899,FALSE
06_003,0.9701622477742,0.921425821093659,1.01889867445474,12,2.56302735688289,FALSE
06_004,,,,,,TRUE
06_005,,,,,,TRUE
06_007,0.974092748356815,0.925569971054013,1.02261552565962,24,2.54149505514781,FALSE
06_008,,,,,,TRUE
06_009,0.818890659541465,0.675178534754427,0.962602784328503,20,8.95388313349486,FALSE
06_010,0.850171645100365,0.574028838876567,1.12631445132416,14,16.5718520090427,FALSE
07_013,,,,,,TRUE
07_019,,,,,,TRUE
07_020,,,,,,TRUE
07_027,,,,,,TRUE
07_031,,,,,,TRUE
07_039,,,,,,TRUE
07_040,,,,,,TRUE
07_046,,,,,,TRUE
07_051,,,,,,TRUE
07_052,,,,,,TRUE
07_057,,,,,,TRUE
07_058,,,,,,TRUE
07_061,,,,,,TRUE
07_076,,,,,,TRUE
07_078,,,,,,TRUE
07_083,,,,,,TRUE
07_087,,,,,,TRUE
07_089,,,,,,TRUE
07_094,,,,,,TRUE
07_099,,,,,,TRUE
07_101,,,,,,TRUE
07_103,,,,,,TRUE
07_107,,,,,,TRUE
07_108,,,,,,TRUE
07_115,,,,,,TRUE
08_002,,,,,,TRUE
08_004,,,,,,TRUE
08_006,,,,,,TRUE
08_011,0.910785136192534,0.808567713676659,1.01300255870841,10,5.72602078241917,FALSE
08_013,,,,,,TRUE
08_017,,,,,,TRUE
08_019,0.904810214671113,0.794662302082321,1.01495812725991,40,6.21101681600111,FALSE
08_021,0.902733543996993,0.825989939144824,0.979477148849163,17,4.33737072197582,FALSE
08_023,,,,,,TRUE
08_025,,,,,,TRUE
08_031,,,,,,TRUE
08_032,,,,,,TRUE
08_036,,,,,,TRUE
08_037,0.92130313082185,0.842734808917158,0.999871452726541,51,4.35099775326314,FALSE
08_050,0.916498242540966,0.874637404511086,0.958359080570846,12,2.33034494034541,FALSE
08_052,,,,,,TRUE
08_064,,,,,,TRUE
09_002,0.823758792803524,0.602778051436003,1.04473953417104,17,13.6866856163331,FALSE
09_003,0.871813116595173,0.602991324837124,1.14063490835322,12,15.7320385270651,FALSE
09_004,,,,,,TRUE
09_005,0.770353944957224,0.601858301314792,0.938849588599655,55,11.1594372543212,FALSE
09_006,0.515504688382809,0.334097561052653,0.696911815712966,25,17.9541833249768,FALSE
09_007,0.700466847356797,0.365194642410843,1.03573905230275,106,24.420463019326,FALSE
09_008,0.957302163092249,0.871287531036727,1.04331679514777,19,4.58423871237293,FALSE
09_009,0.593615640855534,0.524165278848439,0.66306600286263,12,5.96915844667051,FALSE
09_010,0.859468559368214,0.693729226755257,1.02520789198117,32,9.83874082006708,FALSE
09_011,0.835161397162241,0.574430010840988,1.09589278348349,16,15.928204771299,FALSE
09_012,0.900030372312472,0.805295022336602,0.994765722288342,27,5.37030346080432,FALSE
09_013,0.611716213940533,0.295923643793197,0.927508784087869,14,26.3387915125787,FALSE
09_014,,,,,,TRUE
09_015,0.894316425457548,0.722254580324583,1.06637827059051,13,9.8160620985096,FALSE
09_016,,,,,,TRUE
09_017,0.894931226629517,0.736510764923617,1.05335168833542,22,9.03161760048184,FALSE
10_005,0.917228751575532,0.837299606591886,0.997157896559178,56,4.44602024762261,FALSE
10_006,0.956873592522231,0.956873592522231,0.956873592522231,12,0,FALSE
10_007,0.863256343282944,0.839315393429773,0.887197293136114,26,1.41496444576332,FALSE
10_008,0.785227879506466,0.608291310421956,0.962164448590976,13,11.4965046571874,FALSE
10_012,1,1,1,26,0,FALSE
10_013,,,,,,TRUE
10_016,,,,,,TRUE
10_021,,,,,,TRUE
10_022,,,,,,TRUE
10_028,,,,,,TRUE
10_032,,,,,,TRUE
10_033,,,,,,TRUE
10_038,,,,,,TRUE
10_039,,,,,,TRUE
11_001,,,,,,TRUE
11_002,0.833311191721514,0.669187513634325,0.997434869808703,10,10.0486554464315,FALSE
11_003,,,,,,TRUE
11_004,0.958678699717574,0.958678699717573,0.958678699717574,11,5.90855224856021e-15,FALSE
11_005,1,1,1,13,0,FALSE
11_007,0.894275629547533,0.792896054592524,0.995655204502542,37,5.78392961042664,FALSE
11_008,,,,,,TRUE
11_009,,,,,,TRUE
11_011,,,,,,TRUE
11_012,,,,,,TRUE
11_013,,,,,,TRUE
11_014,0.710288916792526,0.567623111133097,0.852954722451956,19,10.2477561786471,FALSE
11_015,0.714816208987634,0.462762172013289,0.96687024596198,23,17.9904983741805,FALSE
11_016,,,,,,TRUE
11_017,0.489318756989895,0.190827942543616,0.787809571436173,41,31.1231134480077,FALSE
11_018,,,,,,TRUE
11_019,,,,,,TRUE
11_020,0.742370467868927,0.611501821311615,0.873239114426238,134,8.99412362441529,FALSE
11_022,,,,,,TRUE
11_023,0.5765473080767,0.49285520572288,0.660239410430521,17,7.4061662630565,FALSE
11_025,,,,,,TRUE
11_026,,,,,,TRUE
11_027,0.788127747976672,0.582579084961717,0.993676410991627,13,13.3064426564853,FALSE
11_028,,,,,,TRUE
11_029,,,,,,TRUE
11_030,0.82922137928521,0.583490895464859,1.07495186310556,14,15.119327474984,FALSE
11_031,,,,,,TRUE
11_032,,,,,,TRUE
11_033,,,,,,TRUE
11_035,,,,,,TRUE
11_037,0.594539083708576,0.521034452943413,0.668043714473739,18,6.30780442580119,FALSE
11_039,0.91601233215407,0.91601233215407,0.916012332154071,10,1.23675260431108e-14,FALSE
11_041,0.568525010035273,0.352041403971945,0.785008616098602,11,19.4276095986019,FALSE
11_042,0.88171869450862,0.781004031666872,0.982433357350367,14,5.8278260835507,FALSE
11_043,,,,,,TRUE
11_044,,,,,,TRUE
11_046,,,,,,TRUE
12_001,0.483748042350368,0.344588669252302,0.622907415448433,24,14.6769958607193,FALSE
12_007,,,,,,TRUE
12_011,,,,,,TRUE
12_012,,,,,,TRUE
12_014,,,,,,TRUE
12_027,,,,,,TRUE
12_029,,,,,,TRUE
12_031,,,,,,TRUE
12_032,,,,,,TRUE
12_035,,,,,,TRUE
12_038,,,,,,TRUE
12_039,,,,,,TRUE
12_042,,,,,,TRUE
12_051,,,,,,TRUE
12_053,,,,,,TRUE
12_056,,,,,,TRUE
12_061,,,,,,TRUE
12_062,,,,,,TRUE
12_064,,,,,,TRUE
12_075,,,,,,TRUE
13_006,,,,,,TRUE
13_008,,,,,,TRUE
13_010,,,,,,TRUE
13_018,,,,,,TRUE
13_024,,,,,,TRUE
13_027,,,,,,TRUE
13_028,,,,,,TRUE
13_029,,,,,,TRUE
13_035,,,,,,TRUE
13_037,1,1,1,11,0,FALSE
13_041,,,,,,TRUE
13_046,0.88792215005417,0.802566945002375,0.973277355105964,10,4.90454867055192,FALSE
13_048,,,,,,TRUE
13_051,,,,,,TRUE
13_054,,,,,,TRUE
13_057,,,,,,TRUE
13_061,,,,,,TRUE
13_063,,,,,,TRUE
13_069,,,,,,TRUE
13_076,0.965463773545537,0.899452433729431,1.03147511336164,11,3.48840173303808,FALSE
13_077,,,,,,TRUE
13_080,,,,,,TRUE
14_002,,,,,,TRUE
14_008,0.355071292496227,0.355071292496227,0.355071292496227,10,0,FALSE
14_021,,,,,,TRUE
14_039,0.858088170176967,0.650984429479057,1.06519191087488,23,12.3140229055567,FALSE
14_044,,,,,,TRUE
14_046,,,,,,TRUE
14_053,,,,,,TRUE
14_058,,,,,,TRUE
14_066,,,,,,TRUE
14_067,,,,,,TRUE
14_083,,,,,,TRUE
14_093,,,,,,TRUE
14_097,,,,,,TRUE
