"paso","covariable","ponderacion_modelo","beta","beta_l","beta_u","p_beta_negativo","excluye_0"
"Control (ESH)","Pobreza municipal (%)","ponde_cal/media_municipal",-0.00673381851213963,-0.0128516048933728,-0.000764189145770626,0.986763476166078,TRUE
"Control (AHA)","Pobreza municipal (%)","ponde_cal/media_municipal",-0.00583444109998024,-0.0123433085914867,0.000529706466292813,0.963876834596168,FALSE
