"paso","ponderacion_modelo","waic","phi_mediana","phi_ic_l","phi_ic_u"
"AWARE_ESH","ponde_cal/media_municipal",9297.79988481723,0.0508276249767371,0.00562804794551984,0.265295523497972
"AWARE_AHA","ponde_cal/media_municipal",13911.5306825137,0.052718880282262,0.00306092090677153,0.347944136249934
"TRAT","ponde_cal/media_municipal",4205.79584331683,0.452697405791009,0.167391138694287,0.777548345217947
"CONTROL_ESH","ponde_cal/media_municipal",5664.49539911178,0.207126875881916,0.0421281591912811,0.579902110466949
"CONTROL_AHA","ponde_cal/media_municipal",5886.12785397989,0.227226737002315,0.0566281309046595,0.550826306400598
