muni_id,prevalencia,ci_l,ci_u,n,cv_pct,suprimir_privacidad
01_001,0.498094551727517,0.407735157819182,0.588453945635851,88,9.25561852182332,FALSE
01_002,,,,,,TRUE
01_004,,,,,,TRUE
01_005,,,,,,TRUE
01_006,,,,,,TRUE
01_009,0.456699080469791,0.334339472558577,0.579058688381005,17,13.6694760407782,FALSE
02_001,0.259685077075598,0.174256238973733,0.345113915177463,10,16.7842304916189,FALSE
02_002,0.333789151092762,0.127067833094957,0.540510469090568,27,31.5978095326565,FALSE
02_003,,,,,,TRUE
02_004,0.26989105611129,0.219561913141083,0.320220199081498,32,9.51425902675517,FALSE
02_005,,,,,,TRUE
02_006,,,,,,TRUE
03_001,0.334169057176073,0.122537453351471,0.545800661000675,36,32.3115817443517,FALSE
03_002,,,,,,TRUE
03_003,0.653594470634224,0.528790797145741,0.778398144122707,57,9.74233205412291,FALSE
03_008,0.566888273758469,0.387658875972052,0.746117671544886,26,16.1307923504788,FALSE
04_001,,,,,,TRUE
04_002,0.399473843762308,0.197518569162798,0.601429118361819,50,25.7935299186253,FALSE
04_003,0.177521865859882,-0.0998180604385195,0.454861792158283,31,79.7084695520436,FALSE
04_004,,,,,,TRUE
04_007,,,,,,TRUE
04_008,,,,,,TRUE
04_009,,,,,,TRUE
04_011,,,,,,TRUE
04_012,,,,,,TRUE
05_002,,,,,,TRUE
05_017,0.459490960138354,0.363418204661791,0.555563715614918,17,10.6676118204979,FALSE
05_018,,,,,,TRUE
05_024,,,,,,TRUE
05_025,,,,,,TRUE
05_026,,,,,,TRUE
05_027,,,,,,TRUE
05_030,0.43455802273709,0.236615358850288,0.632500686623892,18,23.2399702134568,FALSE
05_033,,,,,,TRUE
05_035,0.578326465779244,0.33293201087111,0.823720920687379,23,21.6488886316922,FALSE
05_038,,,,,,TRUE
06_001,,,,,,TRUE
06_002,,,,,,TRUE
06_003,0.325920688442693,0.32522842576116,0.326612951124227,11,0.108368464538987,FALSE
06_004,,,,,,TRUE
06_005,,,,,,TRUE
06_007,0.572117473252103,0.35780930209397,0.786425644410236,23,19.1116175897546,FALSE
06_008,,,,,,TRUE
06_009,0.488769174441943,0.258544350706143,0.718993998177744,15,24.032130278526,FALSE
06_010,0.653211614823378,0.296067588392652,1.0103556412541,12,27.8954531549391,FALSE
07_013,,,,,,TRUE
07_019,,,,,,TRUE
07_020,,,,,,TRUE
07_027,,,,,,TRUE
07_031,,,,,,TRUE
07_039,,,,,,TRUE
07_040,,,,,,TRUE
07_046,,,,,,TRUE
07_052,,,,,,TRUE
07_057,,,,,,TRUE
07_061,,,,,,TRUE
07_076,,,,,,TRUE
07_078,,,,,,TRUE
07_087,,,,,,TRUE
07_089,,,,,,TRUE
07_094,,,,,,TRUE
07_099,,,,,,TRUE
07_101,,,,,,TRUE
07_103,,,,,,TRUE
07_107,,,,,,TRUE
07_108,,,,,,TRUE
08_002,,,,,,TRUE
08_006,,,,,,TRUE
08_011,,,,,,TRUE
08_013,,,,,,TRUE
08_017,,,,,,TRUE
08_019,0.580222542788864,0.464432185462857,0.69601290011487,34,10.1817334841003,FALSE
08_021,0.334351464226463,0.0421228408856536,0.626580087567272,14,44.5926674026426,FALSE
08_023,,,,,,TRUE
08_025,,,,,,TRUE
08_031,,,,,,TRUE
08_032,,,,,,TRUE
08_036,,,,,,TRUE
08_037,0.248100601377209,0.126405243167379,0.369795959587039,48,25.0259242137035,FALSE
08_050,0.347990585910217,0.157642654723183,0.53833851709725,11,27.907735253221,FALSE
08_052,,,,,,TRUE
08_064,,,,,,TRUE
09_002,0.492271220304004,0.324104856560453,0.660437584047555,12,17.4292466503111,FALSE
09_003,,,,,,TRUE
09_004,,,,,,TRUE
09_005,0.6930319356847,0.516228685490987,0.869835185878413,46,13.0161014593982,FALSE
09_006,0.560390697096137,0.362946470623242,0.757834923569032,19,17.9761817537794,FALSE
09_007,0.504327924801496,0.362785983901794,0.645869865701199,90,14.3191111215307,FALSE
09_008,0.70022467550261,0.251760197235736,1.14868915376948,17,32.6764273359522,FALSE
09_009,0.371292469998257,0.271105038346689,0.471479901649825,10,13.7670544617192,FALSE
09_010,0.307204506750133,0.115561846761836,0.498847166738431,28,31.8279404086007,FALSE
09_011,0.601236507743433,0.50285847564965,0.699614539837216,12,8.34827440961969,FALSE
09_012,0.645906911899598,0.203965092076238,1.08784873172296,19,34.9091356918457,FALSE
09_013,0.461841217369031,0.131718685634534,0.791963749103528,11,36.4692142657468,FALSE
09_014,,,,,,TRUE
09_015,0.703833104433367,0.427033429615098,0.980632779251635,11,20.065030047225,FALSE
09_016,,,,,,TRUE
