muni_idx,prev_principal_ponderado,prev_sensibilidad_sin_ponderar,n,dif_sin_menos_principal_pp,quintil_principal,quintil_sin_ponderar,cambia_quintil,estrato_n,suprimir_privacidad
148,,,,,,,,,TRUE
154,,,,,,,,,TRUE
156,,,,,,,,,TRUE
158,,,,,,,,,TRUE
159,,,,,,,,,TRUE
179,,,,,,,,,TRUE
182,,,,,,,,,TRUE
188,,,,,,,,,TRUE
191,,,,,,,,,TRUE
199,,,,,,,,,TRUE
201,,,,,,,,,TRUE
221,0.854037732706268,0.814844786218776,12,-3.91929464874923,4,3,TRUE,n=10-29,FALSE
222,,,,,,,,,TRUE
224,,,,,,,,,TRUE
225,,,,,,,,,TRUE
229,0.912766616313643,0.901285217586823,17,-1.14813987268197,5,5,FALSE,n=10-29,FALSE
231,,,,,,,,,TRUE
234,,,,,,,,,TRUE
235,,,,,,,,,TRUE
237,0.919923459999979,0.917648841163554,10,-0.227461883642455,5,5,FALSE,n=10-29,FALSE
241,,,,,,,,,TRUE
242,,,,,,,,,TRUE
244,,,,,,,,,TRUE
259,0.904614067958019,0.894221529680351,40,-1.03925382776684,5,5,FALSE,n>=30,FALSE
260,,,,,,,,,TRUE
262,0.895929150922652,0.871846498248726,51,-2.40826526739261,4,4,FALSE,n>=30,FALSE
273,,,,,,,,,TRUE
275,,,,,,,,,TRUE
276,0.806158823520196,0.593878535276583,27,-21.2280288243613,3,1,TRUE,n=10-29,FALSE
277,0.618922246892616,0.630750736059808,12,1.18284891671918,1,1,FALSE,n=10-29,FALSE
278,0.832189165880072,0.784309630220145,13,-4.78795356599271,3,2,TRUE,n=10-29,FALSE
279,0.699007093180168,0.718423164871925,106,1.94160716917565,1,1,FALSE,n>=30,FALSE
280,0.889372764413476,0.824649358644213,19,-6.4723405769263,4,3,TRUE,n=10-29,FALSE
281,0.865768772027305,0.859963314681789,32,-0.580545734551574,4,4,FALSE,n>=30,FALSE
282,0.881781897127812,0.878838769787431,12,-0.294312734038082,4,4,FALSE,n=10-29,FALSE
283,,,,,,,,,TRUE
284,,,,,,,,,TRUE
285,0.582576788730478,0.674334452074095,25,9.17576633436163,1,1,FALSE,n=10-29,FALSE
286,0.814194438097975,0.79810486840992,16,-1.60895696880554,3,2,TRUE,n=10-29,FALSE
287,0.672385446136698,0.701884570069934,14,2.94991239332358,1,1,FALSE,n=10-29,FALSE
288,0.792984858534082,0.845562226067353,55,5.25773675332712,2,4,TRUE,n>=30,FALSE
289,0.839530749868084,0.833120816640974,17,-0.640993322710937,3,3,FALSE,n=10-29,FALSE
290,0.879709591854539,0.879769931288685,22,0.00603394341457397,4,4,FALSE,n=10-29,FALSE
291,,,,,,,,,TRUE
292,0.838226057795076,0.798760228631567,12,-3.94658291635089,3,2,TRUE,n=10-29,FALSE
293,0.872409855932167,0.916945029390209,13,4.45351734580423,4,5,TRUE,n=10-29,FALSE
299,,,,,,,,,TRUE
303,,,,,,,,,TRUE
305,0.847630115050455,0.851249375372793,26,0.361926032233761,3,4,TRUE,n=10-29,FALSE
308,,,,,,,,,TRUE
309,,,,,,,,,TRUE
312,0.897394490678444,0.878357426887138,56,-1.90370637913062,5,4,TRUE,n>=30,FALSE
314,,,,,,,,,TRUE
316,0.93158876318977,0.882583377002014,26,-4.90053861877558,5,4,TRUE,n=10-29,FALSE
321,,,,,,,,,TRUE
322,,,,,,,,,TRUE
326,,,,,,,,,TRUE
