"muni_id","clues_total","clues_publico"
"21172",17,15
"21173",1,1
"21174",30,13
"21175",2,2
"21176",1,1
"21177",12,7
"21178",7,7
"21179",13,12
"21180",10,9
"21181",1,1
"21182",1,1
"21183",10,10
"21184",2,2
"21185",2,2
"21186",19,18
"21187",5,5
"21188",5,4
"21189",5,4
"21190",1,1
"21191",6,4
"21192",2,2
"21193",3,3
"21194",10,8
"21195",10,10
"21196",1,1
"21197",27,16
"21198",2,2
"21199",13,11
"21200",3,3
"21201",1,1
"21202",4,4
"21203",1,1
"21204",4,4
"21205",5,4
"21206",2,2
"21207",29,22
"21208",36,28
"21209",4,4
"21210",3,3
"21211",8,4
"21212",11,10
"21213",7,7
"21214",3,1
"21215",2,2
"21216",1,1
"21217",10,9
"22001",30,23
"22002",16,16
"22003",11,11
"22004",31,27
"22005",13,13
"22006",53,11
"22007",16,9
"22008",13,12
"22009",25,20
"22010",15,15
"22011",36,20
"22012",21,14
"22013",17,17
"22014",286,78
"22015",9,9
"22016",61,29
"22017",22,11
"22018",11,11
"23001",29,8
"23002",58,50
"23003",11,6
"23004",129,81
"23005",274,46
"23006",25,22
"23007",21,17
"23008",106,14
"23009",17,5
"23010",36,31
"23011",13,3
"24001",9,5
"24002",5,5
"24003",22,21
"24004",5,5
"24005",7,5
"24006",9,9
"24007",8,7
"24008",13,8
"24009",4,4
"24010",12,10
"24011",10,8
"24012",15,14
"24013",57,37
"24014",8,8
"24015",8,7
"24016",12,10
"24017",13,13
"24018",8,6
"24019",5,5
"24020",35,21
"24021",15,14
"24022",8,7
"24023",9,8
"24024",37,25
"24025",11,9
"24026",5,5
"24027",6,5
"24028",195,68
"24029",14,14
"24030",4,4
"24031",9,9
"24032",16,14
"24033",8,8
"24034",7,6
"24035",40,15
"24036",15,14
"24037",45,40
"24038",8,7
"24039",12,10
"24040",15,12
"24041",13,13
"24042",5,4
"24043",4,4
"24044",8,8
"24045",9,7
"24046",6,5
"24047",7,7
"24048",1,1
"24049",11,11
"24050",16,14
"24051",9,7
"24052",5,4
"24053",20,17
"24054",25,24
"24055",8,8
"24056",5,4
"24057",11,10
"24058",9,7
"24059",20,7
"25001",121,53
"25002",19,14
"25003",32,31
"25004",19,17
"25005",19,16
"25006",318,107
"25007",32,28
"25008",15,13
"25009",30,18
"25010",37,32
"25011",75,43
"25012",150,43
"25013",34,28
"25014",25,22
"25015",39,18
"25016",21,19
"25017",39,37
"25018",36,23
"25019",14,7
"25020",10,8
"26001",4,4
"26002",22,9
"26003",27,26
"26004",4,3
"26005",3,3
"26006",4,4
"26007",1,1
"26008",1,1
"26009",2,2
"26010",2,2
"26011",2,2
"26012",11,11
"26013",1,1
"26014",3,3
"26015",2,2
"26016",4,4
"26017",30,18
"26018",104,47
"26019",11,8
"26020",2,2
"26021",5,5
"26022",1,1
"26023",6,6
"26024",1,1
"26025",18,12
"26026",27,24
"26027",6,5
"26028",2,2
"26029",50,33
"26030",210,90
"26031",2,2
"26032",2,2
"26033",40,31
"26034",3,3
"26035",8,7
"26036",13,7
"26037",2,2
"26038",5,5
"26039",3,3
"26040",2,2
"26041",4,3
"26042",71,54
"26043",49,16
"26044",1,1
"26045",3,3
"26046",1,1
"26047",6,6
"26048",23,9
"26049",4,4
"26050",1,1
"26051",7,7
"26052",6,6
"26053",1,1
"26054",1,1
"26055",44,15
"26056",4,4
"26057",3,3
"26058",13,10
"26059",2,2
"26060",2,2
"26061",5,5
"26062",1,1
"26063",1,1
"26064",2,2
"26065",3,3
"26066",8,7
"26067",2,2
"26068",3,3
"26069",5,5
"26070",4,3
"26071",7,6
"26072",5,5
"27001",38,34
"27002",107,66
"27003",56,45
"27004",303,139
"27005",95,47
"27006",58,42
"27007",22,17
"27008",80,64
"27009",21,20
"27010",40,30
"27011",28,25
"27012",90,72
"27013",49,35
"27014",33,20
"27015",36,33
"27016",29,24
"27017",41,35
"28001",10,9
"28002",18,14
"28003",59,25
"28004",5,5
"28005",6,6
"28006",7,7
"28007",12,7
"28008",5,5
"28009",49,11
"28010",3,3
"28011",8,8
"28012",16,11
"28013",9,9
"28014",3,3
"28015",7,5
"28016",15,15
"28017",17,16
"28018",5,5
"28019",11,10
"28020",4,4
"28021",52,38
"28022",171,66
"28023",4,4
"28024",4,4
"28025",18,9
"28026",5,5
"28027",84,34
"28028",3,3
"28029",10,9
"28030",7,5
"28031",2,2
"28032",185,50
"28033",41,16
"28034",13,13
"28035",43,35
"28036",2,2
"28037",21,18
"28038",114,33
"28039",18,16
"28040",28,19
"28041",109,55
"28042",9,8
"28043",9,6
"29001",4,3
"29002",14,13
"29003",4,4
"29004",7,7
"29005",39,18
"29006",14,9
"29007",3,2
"29008",3,3
"29009",3,3
"29010",22,12
"29011",2,2
"29012",5,5
"29013",31,19
"29014",5,5
"29015",9,9
"29016",1,1
"29017",1,1
"29018",7,5
"29019",4,3
"29020",2,2
"29021",5,4
"29022",1,1
"29023",10,8
"29024",7,6
"29025",14,6
"29026",5,4
"29027",2,1
"29028",4,2
"29029",3,3
"29030",4,4
"29031",5,4
"29032",4,4
"29033",48,22
"29034",20,18
"29035",1,1
"29036",4,1
"29037",2,2
"29038",5,5
"29039",8,3
"29040",4,4
"29041",8,3
"29042",4,2
"29043",6,4
"29044",13,5
"29045",1,1
"29046",2,2
"29047",1,1
"29048",4,2
"29049",1,1
"29050",1,1
"29051",1,1
"29052",1,1
"29053",1,1
"29054",1,1
"29055",1,1
"29056",1,1
"29057",1,1
"29058",2,1
"29059",1,1
"29060",2,1
"30001",4,3
"30002",1,1
"30003",33,13
"30004",18,16
"30005",4,4
"30006",8,7
"30007",3,3
"30008",6,6
"30009",11,11
"30010",20,15
"30011",19,11
"30012",4,3
"30013",13,6
"30014",10,7
"30015",9,7
"30016",13,6
"30017",1,1
"30018",1,1
"30019",4,4
"30020",5,5
"30021",9,6
"30022",4,4
"30023",25,22
"30024",4,3
"30025",7,7
"30026",5,2
"30027",9,9
"30028",49,13
"30029",5,5
"30030",13,6
"30031",8,8
"30032",18,11
"30033",10,9
"30034",11,7
"30035",3,3
"30036",2,1
"30037",3,3
"30038",20,9
"30039",76,31
"30040",9,7
"30041",2,2
"30042",3,3
"30043",7,6
"30044",64,20
"30045",26,19
"30046",4,4
"30047",14,12
"30048",23,17
"30049",10,7
"30050",4,4
"30051",7,6
"30052",4,4
"30053",10,6
"30054",6,4
"30055",5,5
"30056",5,5
"30057",6,6
"30058",31,29
"30059",8,7
"30060",3,3
"30061",34,27
"30062",3,2
"30063",7,7
"30064",1,1
"30065",17,12
"30066",13,13
"30067",3,3
"30068",11,4
"30069",9,8
"30070",13,12
"30071",18,11
"30072",21,21
"30073",13,12
"30074",2,2
"30075",5,4
"30076",8,8
"30077",16,10
"30078",7,7
"30079",4,4
"30080",7,7
"30081",5,3
"30082",4,3
"30083",24,24
"30084",3,3
"30085",16,12
"30086",10,7
"30087",139,45
"30088",2,2
"30089",13,8
"30090",4,3
"30091",14,13
"30092",7,6
"30093",2,2
"30094",13,10
"30095",12,8
"30096",1,1
"30097",5,3
"30098",1,1
"30099",5,3
"30100",7,6
"30101",10,7
"30102",30,12
"30103",3,3
"30104",8,8
"30105",18,8
"30106",1,1
"30107",2,2
"30108",59,31
"30109",21,17
"30110",5,5
"30111",7,6
"30112",8,7
"30113",2,2
"30114",8,8
"30115",9,6
"30116",3,2
"30117",7,7
"30118",50,13
"30119",3,2
"30120",2,1
"30121",12,11
"30122",5,4
"30123",36,31
"30124",50,41
"30125",13,11
"30126",10,7
"30127",9,8
"30128",21,11
"30129",11,10
"30130",23,16
"30131",64,16
"30132",3,2
"30133",12,9
"30134",4,4
"30135",3,2
"30136",2,1
"30137",3,3
"30138",10,6
"30139",3,3
"30140",1,1
"30141",45,28
"30142",10,10
"30143",24,18
"30144",14,12
"30145",3,2
"30146",1,1
"30147",9,9
"30148",10,8
"30149",14,13
"30150",4,4
"30151",15,14
"30152",10,9
"30153",3,3
"30154",9,9
"30155",33,28
"30156",2,2
"30157",8,8
"30158",9,8
"30159",9,8
"30160",38,33
"30161",15,13
"30162",1,1
"30163",2,2
"30164",3,2
"30165",4,4
"30166",3,3
"30167",6,6
"30168",7,6
"30169",12,11
"30170",7,7
"30171",1,1
"30172",6,6
"30173",21,19
"30174",41,27
"30175",23,18
"30176",3,2
"30177",5,5
"30178",4,3
"30179",1,1
"30180",11,11
"30181",17,13
"30182",3,3
"30183",17,12
"30184",5,5
"30185",1,1
"30186",2,2
"30187",2,2
"30188",5,5
"30189",46,24
"30190",2,2
"30191",11,8
"30192",10,7
"30193",156,42
"30194",2,2
"30195",2,2
"30196",4,3
"30197",5,4
"30198",7,7
"30199",3,2
"30200",4,4
"30201",24,23
"30202",7,7
"30203",4,4
"30204",14,8
"30205",9,7
"30206",6,2
"30207",14,10
"30208",4,2
"30209",8,7
"30210",16,16
"30211",8,5
"30212",8,7
"31001",2,2
"31002",3,2
"31003",2,2
"31004",2,1
"31005",1,1
"31006",2,2
"31007",2,1
"31008",2,2
"31009",1,1
"31010",1,1
"31011",1,1
"31012",2,2
"31013",4,3
"31014",1,1
"31015",2,1
"31016",1,1
"31017",6,6
"31018",2,2
"31019",10,10
"31020",2,1
"31021",3,3
"31022",2,2
"31023",1,1
"31024",2,2
"31025",2,1
"31026",1,1
"31027",3,2
"31028",1,1
"31029",2,1
"31030",4,3
"31031",1,1
"31032",5,4
"31033",6,5
"31034",3,2
"31035",2,1
"31036",2,1
"31037",1,1
"31038",7,5
"31039",1,1
"31040",7,5
"31041",12,3
"31042",3,2
"31043",2,2
"31044",2,2
"31045",1,1
"31046",1,1
"31047",2,2
"31048",6,5
"31049",1,1
"31050",318,73
"31051",1,1
"31052",11,7
"31053",3,2
"31054",1,1
"31055",2,2
"31056",11,8
"31057",4,3
"31058",7,6
"31059",17,10
"31060",1,1
"31061",2,2
"31062",1,1
"31063",3,3
"31064",1,1
"31065",1,1
"31066",2,2
"31067",1,1
"31068",2,2
"31069",5,4
"31070",1,1
"31071",1,1
"31072",1,1
"31073",2,2
"31074",2,1
"31075",1,1
"31076",5,3
"31077",1,1
"31078",1,1
"31079",15,12
"31080",2,1
"31081",2,2
"31082",1,1
"31083",2,1
"31084",1,1
"31085",7,6
"31086",1,1
"31087",1,1
"31088",1,1
"31089",15,12
"31090",2,1
"31091",5,4
"31092",5,5
"31093",5,4
"31094",1,1
"31095",1,1
"31096",31,24
"31097",1,1
"31098",8,8
"31099",2,2
"31100",1,1
"31101",11,4
"31102",44,27
"31103",1,1
"31104",9,9
"31105",1,1
"31106",2,2
"32001",5,4
"32002",2,2
"32003",2,2
"32004",3,3
"32005",11,7
"32006",6,6
"32007",14,13
"32008",5,4
"32009",9,8
"32010",75,45
"32011",2,2
"32012",5,5
"32013",3,2
"32014",17,16
"32015",2,2
"32016",11,11
"32017",73,34
"32018",5,5
"32019",16,13
"32020",28,17
"32021",4,4
"32022",9,7
"32023",7,6
"32024",19,13
"32025",7,6
"32026",19,19
"32027",4,4
"32028",1,1
"32029",8,6
"32030",3,3
"32031",9,8
"32032",6,5
"32033",4,4
"32034",14,12
"32035",8,8
"32036",18,14
"32037",6,6
"32038",33,31
"32039",31,20
"32040",15,12
"32041",3,3
"32042",28,22
"32043",1,1
"32044",9,8
"32045",9,7
"32046",8,8
"32047",7,6
"32048",18,14
"32049",24,22
"32050",6,6
"32051",18,17
"32052",9,8
"32053",7,6
"32054",11,10
"32055",15,12
"32056",57,25
"32057",4,3
"32058",1,1
