"muni_id","clues_total","clues_publico"
"12022",20,19
"12023",11,9
"12024",9,9
"12025",6,6
"12026",6,6
"12027",15,14
"12028",44,39
"12029",100,59
"12030",5,4
"12031",5,5
"12032",23,22
"12033",12,11
"12034",18,15
"12035",38,22
"12036",7,7
"12037",4,4
"12038",45,28
"12039",13,11
"12040",8,8
"12041",17,17
"12042",11,11
"12043",16,16
"12044",4,4
"12045",20,19
"12046",28,21
"12047",5,5
"12048",22,16
"12049",5,4
"12050",16,11
"12051",16,15
"12052",17,16
"12053",18,16
"12054",15,15
"12055",42,32
"12056",24,23
"12057",31,25
"12058",28,26
"12059",15,15
"12060",6,6
"12061",11,10
"12062",11,11
"12063",7,7
"12064",8,7
"12065",8,8
"12066",31,26
"12067",12,12
"12068",21,20
"12069",10,10
"12070",4,4
"12071",11,11
"12072",8,8
"12073",10,10
"12074",7,7
"12075",21,18
"12076",22,22
"12077",3,3
"12078",8,8
"12079",5,5
"12080",2,2
"12081",8,8
"12082",5,5
"12083",5,5
"12084",3,3
"12085",2,2
"13001",12,10
"13002",19,18
"13003",31,16
"13004",7,7
"13005",5,4
"13006",10,8
"13007",3,3
"13008",20,12
"13009",7,7
"13010",11,8
"13011",13,12
"13012",11,10
"13013",10,6
"13014",13,10
"13015",19,19
"13016",18,13
"13017",7,5
"13018",17,15
"13019",11,8
"13020",6,6
"13021",4,4
"13022",5,5
"13023",9,7
"13024",5,3
"13025",16,15
"13026",7,7
"13027",17,17
"13028",50,33
"13029",22,19
"13030",42,32
"13031",13,12
"13032",4,4
"13033",4,4
"13034",10,10
"13035",3,3
"13036",5,5
"13037",18,17
"13038",6,6
"13039",3,3
"13040",7,7
"13041",24,14
"13042",10,10
"13043",11,10
"13044",12,8
"13045",4,3
"13046",17,16
"13047",4,4
"13048",127,56
"13049",10,10
"13050",8,2
"13051",26,10
"13052",10,6
"13053",18,18
"13054",15,14
"13055",9,9
"13056",7,7
"13057",6,6
"13058",10,9
"13059",17,15
"13060",12,12
"13061",22,11
"13062",23,22
"13063",20,13
"13064",7,5
"13065",2,2
"13066",4,2
"13067",24,12
"13068",13,13
"13069",30,10
"13070",7,4
"13071",11,11
"13072",2,2
"13073",22,22
"13074",15,7
"13075",3,3
"13076",53,29
"13077",52,13
"13078",12,12
"13079",6,6
"13080",14,14
"13081",13,11
"13082",8,4
"13083",11,8
"13084",23,19
"14001",5,4
"14002",7,5
"14003",11,7
"14004",2,2
"14005",5,4
"14006",24,18
"14007",4,4
"14008",21,12
"14009",5,5
"14010",2,2
"14011",3,3
"14012",3,3
"14013",18,12
"14014",4,4
"14015",29,20
"14016",11,10
"14017",8,8
