"muni_id","clues_total","clues_publico","pob_adulta","clues_por_10k","clues_publico_por_10k"
"01005",16,10,78636,2.03469148990284,1.27168218118928
"01008",8,7,5599,14.2882657617432,12.5022325415253
"01001",199,74,622312,3.19775289565363,1.18911414210235
"01004",5,4,10098,4.95147553971083,3.96118043176867
"01011",10,5,35850,2.78940027894003,1.39470013947001
"01006",11,6,28725,3.82941688424717,2.088772845953
"01003",26,23,36132,7.19583748477804,6.36554854422672
"01010",6,6,12574,4.7717512327024,4.7717512327024
"01002",16,13,29968,5.33902829684997,4.3379604911906
"01009",8,6,13257,6.03454778607528,4.52591083955646
"01007",22,17,33786,6.51157284082164,5.03166992245309
"02003",25,10,73831,3.38611152496919,1.35444460998767
"02004",468,89,1306507,3.58207036012819,0.681205688144036
"02001",139,61,303492,4.58002187866567,2.00993765898277
"02006",38,28,70106,5.42036344963341,3.99395201551936
"02007",6,5,NA,NA,NA
"02002",284,96,726926,3.906862596743,1.32062961016665
"02005",39,10,85997,4.53504192006698,1.16283126155564
"03002",42,35,41750,10.059880239521,8.38323353293413
"03009",9,6,12021,7.48689792862491,4.99126528574994
"03008",99,41,226002,4.38049220803356,1.81414323767046
"03003",126,68,203489,6.1919808933161,3.34170397417059
"03001",42,29,48821,8.60285532864956,5.94006677454374
"04003",95,43,165121,5.75335662938088,2.60415089540398
"04007",12,10,5549,21.6255181113714,18.0212650928095
"04013",4,3,NA,NA,NA
"04005",14,12,20745,6.74861412388527,5.78452639190166
"04004",40,32,48868,8.18531554391422,6.54825243513137
"04011",37,34,27620,13.3960897900072,12.3099203475742
"04012",4,4,10344,3.86697602474865,3.86697602474865
"04002",126,65,203346,6.19633531025936,3.19652218386396
"04006",19,18,25075,7.57726819541376,7.17846460618146
"04001",15,11,38793,3.86667697780527,2.8355631170572
"04010",19,18,17366,10.9409190371991,10.365081193136
"04009",27,22,36568,7.38350470356596,6.01618901772041
"04008",6,6,7416,8.09061488673139,8.09061488673139
"05005",2,2,1041,19.2122958693564,19.2122958693564
"05017",24,19,74972,3.20119511284213,2.53427946433335
"05018",56,22,158386,3.53566603108861,1.38901165507052
"05014",6,6,6058,9.90425883129746,9.90425883129746
"05035",148,45,480975,3.07708300847237,0.93559956338687
"05013",1,1,962,10.3950103950104,10.3950103950104
"05015",3,3,1038,28.9017341040462,28.9017341040462
"05020",19,14,45312,4.19314971751412,3.08968926553672
"05024",20,14,28789,6.94709784987322,4.86296849491125
"05026",3,3,2082,14.4092219020173,14.4092219020173
"05027",25,14,77562,3.22322786931745,1.80500760681777
"05025",50,17,113481,4.40602391589782,1.49804813140526
"05028",14,6,42829,3.26881318732634,1.40091993742558
"05030",170,61,572783,2.96796518053085,1.0649757412493
"05031",9,7,16511,5.45091151353643,4.23959784386167
"05016",1,1,1217,8.21692686935086,8.21692686935086
"05004",17,16,19153,8.87589411580431,8.35378269722759
"05002",29,13,102135,2.83937925294953,1.27282518235668
"05032",16,12,28658,5.58308325772908,4.18731244329681
"05033",31,27,63199,4.90514090412823,4.27221949714394
"05009",21,16,36925,5.68720379146919,4.3331076506432
"05012",2,2,1099,18.1983621474067,18.1983621474067
"05006",8,7,18685,4.28150923200428,3.74632057800375
"05003",10,6,14857,6.73083395032645,4.03850037019587
"05023",12,12,5938,20.2088245200404,20.2088245200404
"05008",3,3,1949,15.3925089789636,15.3925089789636
"05022",3,2,20620,1.454898157129,0.969932104752667
"05019",2,2,5080,3.93700787401575,3.93700787401575
"05007",11,10,8010,13.7328339575531,12.4843945068664
"05034",8,8,4223,18.9438787591759,18.9438787591759
"05037",4,3,3870,10.3359173126615,7.75193798449612
"05029",2,2,1616,12.3762376237624,12.3762376237624
"05001",2,2,742,26.9541778975741,26.9541778975741
"05038",6,6,8377,7.16246866419959,7.16246866419959
"05021",3,3,4447,6.74612098043625,6.74612098043625
"05010",13,5,53321,2.43806380225427,0.937716847020874
"05011",12,12,7577,15.8374026659628,15.8374026659628
"05036",12,12,12560,9.55414012738854,9.55414012738854
"06006",6,6,3894,15.4083204930663,15.4083204930663
"06002",78,48,110739,7.04358897949232,4.3345162950722
"06005",13,11,21376,6.0815868263473,5.14595808383234
"06008",8,8,6519,12.2718208314159,12.2718208314159
"06001",12,11,18105,6.62800331400166,6.07566970450152
"06004",10,9,13941,7.17308657915501,6.45577792123951
"06010",27,11,103104,2.61871508379888,1.06688392302917
"06003",9,9,14705,6.12036722203332,6.12036722203332
"06007",69,43,128451,5.37169815727398,3.3475800110548
"06009",47,34,74775,6.28552323637579,4.54697425610164
"07019",64,34,104521,6.1231714200974,3.25293481692674
"07090",2,2,2488,8.03858520900322,8.03858520900322
"07020",20,18,29731,6.72698530153712,6.0542867713834
"07021",12,12,13394,8.9592354785725,8.9592354785725
"07079",13,9,25295,5.13935560387428,3.55801541806681
"07109",19,15,22366,8.49503710989895,6.70660824465707
"07108",44,35,68763,6.39879004697294,5.08994662827393
"07107",29,26,39764,7.29302887033498,6.53857760788653
"07106",21,19,41131,5.10563808319759,4.61938683717877
"07104",9,8,10521,8.55431993156544,7.60383993916928
"07103",11,11,18041,6.09722299207361,6.09722299207361
"07102",16,13,25500,6.27450980392157,5.09803921568627
"07101",236,45,405097,5.82576518710334,1.11084505686292
"07120",3,3,2306,13.009540329575,13.009540329575
"07074",18,13,26969,6.67432978605065,4.82034928992547
"07075",7,5,17052,4.10509031198686,2.9322073657049
"07057",38,33,42423,8.95740518115173,7.77879923626335
"07007",3,3,6105,4.91400491400491,4.91400491400491
"07111",11,10,23843,4.61351340015938,4.19410309105398
"07054",14,13,17678,7.91944790134631,7.35377305125014
"07076",12,12,16274,7.37372496005899,7.37372496005899
"07081",19,19,25612,7.41839762611276,7.41839762611276
"07063",3,3,2342,12.8095644748079,12.8095644748079
"07110",2,2,4138,4.83325277912035,4.83325277912035
"07051",23,19,28272,8.13525749858517,6.72043010752688
"07070",9,9,6578,13.6819702037093,13.6819702037093
"07112",14,14,16898,8.28500414250207,8.28500414250207
"07050",4,4,3531,11.328235627301,11.328235627301
"07022",9,9,9530,9.44386149003148,9.44386149003148
"07053",8,8,4417,18.1118406158026,18.1118406158026
"07080",19,18,13776,13.7921022067364,13.0662020905923
"07049",10,10,13759,7.26797005596337,7.26797005596337
"07065",58,48,75964,7.63519561897741,6.31878258122268
"07086",5,2,15662,3.19244030136636,1.27697612054655
"07062",13,12,10558,12.3129380564501,11.3657889751847
"07077",33,31,36031,9.15877993949655,8.60370236740584
"07082",12,12,7333,16.3643801991,16.3643801991
"07024",5,5,5491,9.10580950646512,9.10580950646512
"07121",1,1,4145,2.41254523522316,2.41254523522316
"07042",6,6,6122,9.80071871937275,9.80071871937275
"07025",4,4,4232,9.45179584120983,9.45179584120983
"07018",6,6,5575,10.762331838565,10.762331838565
"07052",73,71,75944,9.61234593911303,9.34899399557569
"07026",21,21,22794,9.21295077652014,9.21295077652014
"07083",10,10,11787,8.48392296597947,8.48392296597947
"07084",5,5,4824,10.3648424543947,10.3648424543947
"07089",143,68,222515,6.42653304271622,3.05597375457834
"07068",19,16,20112,9.44709626093874,7.95544948289578
"07027",51,45,70149,7.27023906256682,6.4149168199119
"07048",12,11,13715,8.74954429456799,8.02041560335399
