"paso","waic","phi_mediana","phi_ic_l","phi_ic_u"
"AWARE_ESH",9189.04589478965,0.12473195397494,0.0110013139822011,0.566963889823733
"AWARE_AHA",14286.2211250106,0.0624075022971668,0.00163962684271401,0.564104211866314
"TRAT",3913.16536053402,0.80920946429749,0.350956522360686,0.980847331208167
"CONTROL_ESH",5614.03773969589,0.649121832758483,0.140400323410443,0.964298806461887
"CONTROL_AHA",5874.65284257323,0.511633572795047,0.130737548735716,0.895212890192978
