"muni_idx","diferencia_pp","dif_q025","dif_q975","prev_ESH","fuente_ESH","priv_ESH","prev_AHA","fuente_AHA","priv_AHA","ambos_directos","suprimir_privacidad","cve_ent","cve_mun","nomgeo"
36,-20.6646125719277,-37.0359802354148,-4.51858317543479,0.451854665080482,"muestra_directa",TRUE,0.245208539361204,"muestra_directa",FALSE,TRUE,TRUE,"04","008","Tenabo"
37,-22.9024136871814,-39.6869293139493,-3.46043522427678,0.630322710205867,"sintetico_postestratificado",FALSE,0.401298573334053,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","005","Candela"
38,-26.2021708614809,-39.4774707417771,-12.7833038457901,0.654728675030757,"muestra_directa",FALSE,0.392706966415948,"muestra_directa",FALSE,TRUE,FALSE,"05","017","Matamoros"
39,-24.4549550153131,-39.9743296068557,-7.76385437180289,0.621045344020636,"muestra_directa",TRUE,0.376495793867506,"muestra_directa",FALSE,TRUE,TRUE,"05","018","Monclova"
40,-24.0476310534764,-41.7506369122515,-5.67173227316147,0.608579086050412,"sintetico_postestratificado",FALSE,0.368102775515648,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","014","Jiménez"
41,-28.3186243800545,-39.5198935170279,-16.2870004365613,0.580660466263679,"muestra_directa",FALSE,0.297474222463135,"muestra_directa",FALSE,TRUE,FALSE,"05","035","Torreón"
42,-24.257066103933,-41.4986054086507,-7.01188339911693,0.592386614073196,"sintetico_postestratificado",FALSE,0.349815953033866,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","013","Hidalgo"
43,-23.7576566521813,-41.5854429310003,-4.68740526575816,0.622198032848595,"sintetico_postestratificado",FALSE,0.384621466326781,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","015","Juárez"
44,-23.3850447348649,-39.9808790759465,-5.95661163713495,0.601968168140626,"sintetico_postestratificado",FALSE,0.368117720791977,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","020","Múzquiz"
45,-22.9721829481679,-37.5987768584997,-7.97624669032011,0.618439180576227,"muestra_directa",FALSE,0.388717351094549,"muestra_directa",FALSE,TRUE,FALSE,"05","024","Parras"
46,-25.4904812527332,-41.6358325275686,-8.70147176729113,0.635487903213835,"muestra_directa",TRUE,0.380583090686504,"muestra_directa",TRUE,TRUE,TRUE,"05","026","Progreso"
47,-21.2919217185626,-37.1893063027882,-6.03744504514665,0.655221955363221,"muestra_directa",TRUE,0.442302738177595,"muestra_directa",FALSE,TRUE,TRUE,"05","027","Ramos Arizpe"
48,-23.4252663374017,-40.7724339729257,-5.81206659488459,0.616467678573127,"muestra_directa",TRUE,0.382215015199109,"muestra_directa",TRUE,TRUE,TRUE,"05","025","Piedras Negras"
49,-23.4452380484174,-40.5987598017081,-4.72015423488368,0.613256585974168,"sintetico_postestratificado",FALSE,0.378804205489994,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","028","Sabinas"
50,-21.0784695994949,-34.294568348351,-7.81599050991961,0.554035408788006,"muestra_directa",FALSE,0.343250712793058,"muestra_directa",FALSE,TRUE,FALSE,"05","030","Saltillo"
51,-22.1663469292582,-37.9888301574767,-3.34091249528788,0.603240561221488,"sintetico_postestratificado",FALSE,0.381577091928907,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","031","San Buenaventura"
52,-22.0483068506923,-39.0831201657991,-4.67927769691206,0.617383925268272,"sintetico_postestratificado",FALSE,0.396900856761349,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","016","Lamadrid"
53,-23.0076963607013,-41.8415039941598,-3.79831906316384,0.609907551944497,"sintetico_postestratificado",FALSE,0.379830588337484,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","004","Arteaga"
54,-21.6640633084435,-36.3977762300561,-5.55556249208427,0.592713535448656,"muestra_directa",FALSE,0.376072902364221,"muestra_directa",FALSE,TRUE,FALSE,"05","002","Acuña"
55,-23.1491003392813,-40.2412277892766,-3.49961913830733,0.618666147052772,"sintetico_postestratificado",FALSE,0.387175143659959,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","032","San Juan de Sabinas"
56,-22.5752318190376,-36.7278203010286,-7.49418286860851,0.580991226305102,"muestra_directa",TRUE,0.355238908114726,"muestra_directa",FALSE,TRUE,TRUE,"05","033","San Pedro"
57,-24.1497218229431,-41.4058705148199,-6.25434843675692,0.611093584126722,"sintetico_postestratificado",FALSE,0.369596365897291,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","009","Francisco I. Madero"
58,-23.8238561686029,-41.8785925628519,-5.95233031626704,0.607707170173322,"sintetico_postestratificado",FALSE,0.369468608487293,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","012","Guerrero"
59,-24.4265433436537,-41.9713073405028,-6.07251122344945,0.604364374644433,"sintetico_postestratificado",FALSE,0.360098941207896,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","006","Castaños"
60,-23.3258233946213,-40.6486227247967,-4.93228599516593,0.604179469945908,"sintetico_postestratificado",FALSE,0.370921235999694,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","003","Allende"
61,-23.6321501625704,-39.6348753275918,-5.79456484074716,0.613473590464109,"sintetico_postestratificado",FALSE,0.377152088838406,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","023","Ocampo"
62,-22.5250037946212,-38.5604951402709,-6.09673667464173,0.618040545000002,"sintetico_postestratificado",FALSE,0.39279050705379,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","008","Escobedo"
63,-23.2329756495766,-39.6170616087155,-5.11837095140072,0.617296311247134,"sintetico_postestratificado",FALSE,0.384966554751367,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","022","Nava"
64,-21.6059084964005,-38.7591619416316,-4.05158266518931,0.592562875860725,"sintetico_postestratificado",FALSE,0.376503790896721,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","019","Morelos"
65,-22.452726153269,-38.9314504880413,-5.51002031563212,0.600968336597113,"sintetico_postestratificado",FALSE,0.376441075064423,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","007","Cuatro Ciénegas"
66,-22.656282038351,-38.9000273765537,-4.9960881888492,0.612655164022815,"sintetico_postestratificado",FALSE,0.386092343639305,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","034","Sierra Mojada"
67,-23.1716351663101,-41.9811136933283,-5.35412421840581,0.601706740327856,"sintetico_postestratificado",FALSE,0.369990388664755,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","037","Villa Unión"
68,-22.532415614568,-40.007974338404,-4.03810587605877,0.588942132638322,"sintetico_postestratificado",FALSE,0.363617976492642,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","029","Sacramento"
69,-22.3025552726786,-40.7909741736252,-5.03432991665069,0.588302402861962,"sintetico_postestratificado",FALSE,0.365276850135176,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","001","Abasolo"
70,-22.6898773203813,-39.0398968875768,-6.32614116629548,0.566486141019449,"muestra_directa",TRUE,0.339587367815636,"muestra_directa",FALSE,TRUE,TRUE,"05","038","Zaragoza"
71,-22.046352391724,-38.4366207200339,-4.96860467154847,0.580883783392056,"sintetico_postestratificado",FALSE,0.360420259474816,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","021","Nadadores"
72,-23.0120651608107,-39.7894154654047,-5.22627053926665,0.583076030920091,"sintetico_postestratificado",FALSE,0.352955379311985,"sintetico_postestratificado",FALSE,FALSE,FALSE,"05","010","Frontera"
