"muni_id","prevalencia","ci_l","ci_u","n","cv_pct"
"01_001",0.802731621640098,0.751443702728892,0.854019540551305,121,3.25978258007058
"01_002",0.716640895532123,0.417667285943965,1.01561450512028,10,21.2850755327133
"01_004",0.136077205487929,0.136077205487929,0.136077205487929,3,0
"01_005",0.778468351272433,0.778468351272433,0.778468351272433,3,7.27634357595191e-15
"01_006",0.40508467499952,0.114657958317752,0.695511391681288,9,36.5792401962339
"01_009",0.799516916921446,0.678667424670936,0.920366409171956,24,7.71189488358281
"02_001",0.579507941169547,0.464460843308492,0.694555039030602,18,10.1288515201776
"02_002",0.513593180247007,0.302269110049825,0.724917250444189,46,20.9929584948876
"02_003",0.770357032618781,0.770357032618781,0.770357032618781,8,0
"02_004",0.797956657559792,0.654565620049882,0.941347695069701,65,9.1682539288313
"02_005",0.72068155851895,0.72068155851895,0.72068155851895,7,7.85978650335355e-15
"02_006",0.287315622667587,0.287315622667587,0.287315622667587,5,9.8574576875977e-15
"03_001",0.820968996058244,0.702768556011452,0.939169436105035,46,7.34575206276979
"03_002",0.565966837825325,0.0999646074267397,1.03196906822391,13,42.0088641434955
"03_003",0.639885806371152,0.535462291052182,0.744309321690122,89,8.32606430767834
"03_008",0.545019734012009,0.423757722713276,0.666281745310742,56,11.3515840346132
"04_001",0.401215821668898,0.364741438577736,0.43769020476006,14,4.63824658029097
"04_002",0.63324955799919,0.513586976661216,0.752912139337164,89,9.64111804676722
"04_003",0.694993815170629,0.61094559689652,0.779042033444738,46,6.17009001826505
"04_004",0.413736074119365,0.336720053841151,0.490752094397579,17,9.49733183906788
"04_006",0,0,0,3,NA
"04_007",0.751173616521505,0.751173616521504,0.751173616521505,4,7.5407376700655e-15
"04_008",0.175398110685206,0.175398110685206,0.175398110685206,7,8.07363768733688e-15
"04_009",0.922845169489744,0.791567075061355,1.05412326391813,12,7.25783932350801
"04_011",0.53651385482081,0.53651385482081,0.53651385482081,8,0
"04_012",0.656467607244043,0.656467607244042,0.656467607244043,3,8.62861034475582e-15
"05_002",0.556951117173307,0.544198211899176,0.569704022447439,13,1.16825052018198
"05_017",0.584201876091527,0.313557285578666,0.854846466604387,23,23.6363456542248
"05_018",0.542220051030444,0.246714527524353,0.837725574536535,7,27.8057080241277
"05_024",0.741590715839581,0.450662753788308,1.03251867789086,10,20.0154385066139
"05_025",1,1,1,5,8.49660478029457e-15
"05_026",1,1,1,1,0
"05_027",0.79818452761759,0.79818452761759,0.79818452761759,8,7.09660860474216e-15
"05_030",0.529398815985926,0.338282734692495,0.720514897279356,35,18.4186669477059
"05_033",0.458978994488956,0.458978994488956,0.458978994488956,9,0
