"muni_idx","prev_principal_ponderado","prev_sensibilidad_sin_ponderar","n","dif_sin_menos_principal_pp","quintil_principal","quintil_sin_ponderar","cambia_quintil","estrato_n"
1126,0.490786393401857,0.544636826401048,9,5.38504329991914,4,5,TRUE,"n<=9"
1139,0.587454479313872,0.530865850288874,13,-5.65886290249977,5,5,FALSE,"n=10-29"
1175,0.429886431258761,0.389273962426099,11,-4.06124688326619,4,3,TRUE,"n=10-29"
1188,0.363763487231438,0.272344738104182,9,-9.14187491272558,2,1,TRUE,"n<=9"
1192,0.355481461943569,0.422309643685674,22,6.68281817421045,2,3,TRUE,"n=10-29"
1193,0.371983498941409,0.368487290794062,11,-0.349620814734686,2,2,FALSE,"n=10-29"
1224,0.277343360172514,0.253522384034101,28,-2.3820976138413,1,1,FALSE,"n=10-29"
1232,0.503283321643686,0.53502935244566,2,3.17460308019737,5,5,FALSE,"n<=9"
1248,0.476904113250752,0.446948493405528,10,-2.99556198452245,4,4,FALSE,"n=10-29"
1276,0.339157071824191,0.376644185278895,12,3.74871134547035,2,2,FALSE,"n=10-29"
1346,0.513173792279558,0.489379207482427,8,-2.37945847971307,5,5,FALSE,"n<=9"
1349,0.156065141410491,0.168583076205733,4,1.25179347952418,1,1,FALSE,"n<=9"
1356,0.383082046042753,0.404941649936197,6,2.1859603893444,3,3,FALSE,"n<=9"
1374,0.415375277612896,0.469872514963169,7,5.44972373502731,3,4,TRUE,"n<=9"
1433,0.293454791721392,0.34500599956908,14,5.15512078476879,1,2,TRUE,"n=10-29"
1474,0.2930591040677,0.337260010208234,5,4.42009061405337,1,2,TRUE,"n<=9"
1475,0.47786997009559,0.456587890545845,8,-2.12820795497452,4,4,FALSE,"n<=9"
1483,0.388204211872599,0.399014428773351,15,1.08102169007517,3,3,FALSE,"n=10-29"
1500,0.256905392152097,0.281997380636443,12,2.50919884843462,1,1,FALSE,"n=10-29"
1512,0.403640767492153,0.390286057746341,5,-1.33547097458123,3,3,FALSE,"n<=9"
1515,0.479240080566585,0.423550471615151,5,-5.56896089514337,4,3,TRUE,"n<=9"
1517,0.469129667428232,0.460618169141283,10,-0.851149828694858,4,4,FALSE,"n=10-29"
1520,0.436916541150277,0.436428840068432,6,-0.0487701081845759,4,4,FALSE,"n<=9"
1531,0.352772085170668,0.378799447103454,6,2.60273619327864,2,3,TRUE,"n<=9"
1565,0.367270569695689,0.368601999561801,8,0.133142986611223,2,2,FALSE,"n<=9"
1566,0.245421923046712,0.248088035011777,11,0.266611196506503,1,1,FALSE,"n=10-29"
1569,0.457769781289801,0.437486224551716,6,-2.02835567380846,4,4,FALSE,"n<=9"
1592,0.487725468514262,0.434474439577182,19,-5.32510289370808,4,4,FALSE,"n=10-29"
1598,0.41292360236476,0.362417610473053,16,-5.0505991891707,3,2,TRUE,"n=10-29"
1602,0.289630480033456,0.297297771080682,11,0.766729104722658,1,1,FALSE,"n=10-29"
1608,0.405081981918754,0.432120238058974,10,2.70382561402203,3,4,TRUE,"n=10-29"
1620,0.258936161065759,0.28365584590475,7,2.4719684838991,1,1,FALSE,"n<=9"
1623,0.326825346157966,0.332934626425046,5,0.610928026707941,2,2,FALSE,"n<=9"
1626,0.372303305527246,0.397634187052245,20,2.53308815249985,3,3,FALSE,"n=10-29"
1629,0.335036301546075,0.29843339477256,10,-3.66029067735151,2,1,TRUE,"n=10-29"
1632,0.263974973019372,0.309977524834362,26,4.60025518149904,1,1,FALSE,"n=10-29"
1636,0.469630812064487,0.463730561195483,1,-0.590025086900359,4,4,FALSE,"n<=9"
1640,0.51743452203637,0.483945326064522,4,-3.34891959718474,5,5,FALSE,"n<=9"
1654,0.305654581761413,0.316091862998301,7,1.04372812368879,1,1,FALSE,"n<=9"
1666,0.309199233373829,0.345219491964863,12,3.60202585910346,1,2,TRUE,"n=10-29"
1678,0.246407619411793,0.265500578966948,12,1.9092959555155,1,1,FALSE,"n=10-29"
1695,0.372697827090962,0.472916808313459,14,10.0218981222497,3,4,TRUE,"n=10-29"
1722,0.446809006548487,0.470950023374222,4,2.41410168257349,4,4,FALSE,"n<=9"
1732,0.361913026300346,0.429293353477157,7,6.73803271768111,2,4,TRUE,"n<=9"
1735,0.451659962140172,0.417664810744359,2,-3.39951513958123,4,3,TRUE,"n<=9"
1751,0.503108812662305,0.436442540173727,10,-6.6666272488578,5,4,TRUE,"n=10-29"
1755,0.346155066055322,0.381532240600822,2,3.53771745455006,2,3,TRUE,"n<=9"
1756,0.325401974623835,0.333851987179306,9,0.845001255547068,2,2,FALSE,"n<=9"
1757,0.426319987538794,0.426782018706086,44,0.0462031167291821,4,4,FALSE,"n>=30"
1758,0.50248383808862,0.445874927242313,9,-5.66089108463073,5,4,TRUE,"n<=9"
1763,0.31552197626194,0.330215680383412,10,1.46937041214726,2,1,TRUE,"n=10-29"
1774,0.401762729618828,0.377709353579197,26,-2.40533760396318,3,3,FALSE,"n=10-29"
1780,0.395820194971782,0.418745257281205,16,2.29250623094229,3,3,FALSE,"n=10-29"
1785,0.372545038568997,0.380986443287692,9,0.844140471869514,3,3,FALSE,"n<=9"
1792,0.56213034968343,0.535894788580829,4,-2.62355611026012,5,5,FALSE,"n<=9"
1798,0.244764661703332,0.270567913174525,8,2.58032514711935,1,1,FALSE,"n<=9"
1800,0.382173527977936,0.362488357985842,11,-1.96851699920941,3,2,TRUE,"n=10-29"
1803,0.380703083370035,0.32595244040533,15,-5.47506429647052,3,1,TRUE,"n=10-29"
1805,0.31065580876354,0.342341030706678,20,3.16852219431378,1,2,TRUE,"n=10-29"
1807,0.332388530620437,0.36683367098508,27,3.44451403646424,2,2,FALSE,"n=10-29"
1808,0.354372945232421,0.367652837826204,8,1.32798925937826,2,2,FALSE,"n<=9"
1810,0.330179065674259,0.366906915684139,54,3.67278500098794,2,2,FALSE,"n>=30"
1812,0.510241918983463,0.493034453885008,5,-1.72074650984549,5,5,FALSE,"n<=9"
1814,0.27686752764242,0.325742527576862,28,4.88749999344413,1,1,FALSE,"n=10-29"
1815,0.502125663516826,0.434356472461235,127,-6.77691910555909,5,4,TRUE,"n>=30"
1817,0.237091755001732,0.273037432906866,13,3.59456779051332,1,1,FALSE,"n=10-29"
1819,0.449245937467372,0.447126117188273,22,-0.211982027909863,4,4,FALSE,"n=10-29"
