"muni_idx","prev_principal_ponderado","prev_sensibilidad_sin_ponderar","n","dif_sin_menos_principal_pp","quintil_principal","quintil_sin_ponderar","cambia_quintil","estrato_n"
1,0.405144284949584,0.480513473096889,1,7.53691881473054,3,5,TRUE,"n<=9"
3,0.492985090986029,0.531211635585988,88,3.82265445999587,5,5,FALSE,"n>=30"
4,0.567535784633411,0.553459440259813,1,-1.40763443735986,5,5,FALSE,"n<=9"
6,0.446433600582082,0.518477712289969,6,7.20441117078865,4,5,TRUE,"n<=9"
9,0.496133578580302,0.421614095787834,7,-7.45194827924684,5,3,TRUE,"n<=9"
10,0.438832155449648,0.442439567444336,17,0.360741199468845,4,4,FALSE,"n=10-29"
12,0.393567689944547,0.368884505143851,7,-2.46831848006964,3,2,TRUE,"n<=9"
13,0.300409304648035,0.368879389421118,32,6.84700847730829,1,2,TRUE,"n>=30"
14,0.322225469579599,0.350191026886084,10,2.79655573064849,1,2,TRUE,"n=10-29"
15,0.280825563204514,0.306103090844027,2,2.52775276395136,1,1,FALSE,"n<=9"
17,0.331626204020996,0.333163953296542,27,0.153774927554534,2,1,TRUE,"n=10-29"
18,0.426019029397306,0.42199896091408,4,-0.402006848322572,3,3,FALSE,"n<=9"
19,0.280855536444735,0.35814387711792,6,7.72883406731843,1,2,TRUE,"n<=9"
21,0.540926028652849,0.48118933207657,26,-5.97366965762791,5,5,FALSE,"n=10-29"
22,0.612168822072417,0.528898119589198,57,-8.32707024832199,5,5,FALSE,"n>=30"
23,0.350346682289117,0.370346703159325,36,2.00000208702081,2,2,FALSE,"n>=30"
24,0.269342696734274,0.385309029807701,31,11.5966333073427,1,2,TRUE,"n>=30"
25,0.420553319729229,0.431621583357142,3,1.10682636279133,3,4,TRUE,"n<=9"
28,0.315123272850053,0.317395740115453,8,0.227246726539987,1,1,FALSE,"n<=9"
29,0.49294511745672,0.405156749626763,6,-8.77883678299569,5,3,TRUE,"n<=9"
31,0.390356085392604,0.427106087860678,50,3.67500024680735,3,4,TRUE,"n>=30"
33,0.295202328537572,0.31449203619753,5,1.92897076599585,1,1,FALSE,"n<=9"
35,0.311090969112109,0.294440900413754,8,-1.6650068698355,1,1,FALSE,"n<=9"
36,0.329966856036843,0.327905784202298,2,-0.206107183454501,1,1,FALSE,"n<=9"
38,0.440740785396037,0.440128977966048,17,-0.0611807429989286,4,4,FALSE,"n=10-29"
39,0.464281829524884,0.471555367142573,6,0.727353761768812,4,5,TRUE,"n<=9"
41,0.514576877842891,0.443043429963198,23,-7.15334478796933,5,4,TRUE,"n=10-29"
45,0.415017046789668,0.459832519967728,7,4.48154731780609,3,4,TRUE,"n<=9"
46,0.307985678524828,0.328176442222978,1,2.019076369815,1,1,FALSE,"n<=9"
47,0.370553360295813,0.427022146934213,5,5.64687866384008,2,3,TRUE,"n<=9"
48,0.378155638628026,0.429748012051528,3,5.15923734235014,2,4,TRUE,"n<=9"
50,0.449412423966632,0.482385745333771,18,3.29733213671389,4,5,TRUE,"n=10-29"
54,0.506475255186757,0.463810471889896,4,-4.26647832968607,5,4,TRUE,"n<=9"
56,0.397145270399678,0.437956048205818,3,4.08107778061401,3,4,TRUE,"n<=9"
70,0.314565525227995,0.343759273554083,2,2.91937483260881,1,1,FALSE,"n<=9"
76,0.549207199931103,0.511483500681934,9,-3.77236992491691,5,5,FALSE,"n<=9"
77,0.421313422463651,0.454606402833844,2,3.3292980370193,3,4,TRUE,"n<=9"
78,0.598012454229645,0.587391680381934,1,-1.06207738477104,5,5,FALSE,"n<=9"
79,0.429463456813683,0.428992957584761,2,-0.0470499228922117,4,4,FALSE,"n<=9"
80,0.477749238215007,0.489878193859852,1,1.21289556448447,4,5,TRUE,"n<=9"
81,0.566453293733017,0.539036542788921,12,-2.74167509440962,5,5,FALSE,"n=10-29"
82,0.365344754447929,0.38127545438874,11,1.59306999408103,2,2,FALSE,"n=10-29"
83,0.530920721823471,0.495348303763528,23,-3.55724180599435,5,5,FALSE,"n=10-29"
84,0.482340785026916,0.47695023930529,15,-0.539054572162556,4,5,TRUE,"n=10-29"
85,0.304037820221026,0.330722037023596,4,2.66842168025691,1,1,FALSE,"n<=9"
87,0.290380420530085,0.285326236096939,1,-0.505418443314626,1,1,FALSE,"n<=9"
91,0.308882945054662,0.295013500703783,1,-1.38694443508797,1,1,FALSE,"n<=9"
92,0.274661044728889,0.279325018195502,2,0.466397346661307,1,1,FALSE,"n<=9"
95,0.432675432561865,0.437850866434237,3,0.517543387237235,4,4,FALSE,"n<=9"
97,0.293146499131898,0.375297214328142,9,8.21507151962439,1,2,TRUE,"n<=9"
101,0.283443889840737,0.27243167346823,1,-1.10122163725075,1,1,FALSE,"n<=9"
105,0.266784149252172,0.266005675676932,1,-0.0778473575239413,1,1,FALSE,"n<=9"
127,0.268420095110854,0.266074211382288,3,-0.23458837285657,1,1,FALSE,"n<=9"
131,0.408426985688179,0.381174583897125,2,-2.72524017910543,3,2,TRUE,"n<=9"
133,0.492865613212214,0.441857066946362,3,-5.10085462658521,5,4,TRUE,"n<=9"
135,0.286852197705132,0.289673720681153,1,0.282152297602101,1,1,FALSE,"n<=9"
148,0.402719469226259,0.349737013436143,6,-5.29824557901166,3,2,TRUE,"n<=9"
156,0.349308828269697,0.339342403143096,3,-0.996642512660062,2,1,TRUE,"n<=9"
158,0.320257817641282,0.23448971684083,4,-8.5768100800452,1,1,FALSE,"n<=9"
159,0.274185818618625,0.250243330668203,3,-2.39424879504217,1,1,FALSE,"n<=9"
179,0.349179097664656,0.34170043427454,1,-0.747866339011544,2,1,TRUE,"n<=9"
182,0.357961992013953,0.349753741345956,5,-0.820825066799635,2,2,FALSE,"n<=9"
188,0.519158860376688,0.466470318632638,2,-5.26885417440505,5,4,TRUE,"n<=9"
199,0.388867590592656,0.381523338953186,1,-0.734425163947078,3,2,TRUE,"n<=9"
201,0.388121753434153,0.400463269556696,2,1.23415161225437,3,3,FALSE,"n<=9"
221,0.361317557909127,0.353482828517224,11,-0.78347293919025,2,2,FALSE,"n=10-29"
222,0.429225888061419,0.420595153803668,1,-0.863073425775113,4,3,TRUE,"n<=9"
224,0.543566835787962,0.489598196999996,2,-5.39686387879659,5,5,FALSE,"n<=9"
225,0.413229142972918,0.391091233539548,1,-2.21379094333698,3,3,FALSE,"n<=9"
229,0.36635427569881,0.389706421926762,14,2.33521462279516,2,2,FALSE,"n=10-29"
231,0.480422993185347,0.482468098215526,3,0.204510503017935,4,5,TRUE,"n<=9"
234,0.366886739026246,0.3973531418043,2,3.04664027780536,2,3,TRUE,"n<=9"
235,0.395138768161715,0.371226510175615,1,-2.39122579861,3,2,TRUE,"n<=9"
237,0.407748728248952,0.378524964904078,9,-2.92237633448737,3,2,TRUE,"n<=9"
241,0.562500228005494,0.540895538538738,1,-2.16046894667556,5,5,FALSE,"n<=9"
244,0.383400537572139,0.386891969478999,9,0.349143190685974,3,2,TRUE,"n<=9"
259,0.516413382473364,0.433831023572492,34,-8.25823589008715,5,4,TRUE,"n>=30"
260,0.290743334561397,0.305423689349624,3,1.46803547882279,1,1,FALSE,"n<=9"
262,0.300007706221633,0.345504826376325,48,4.54971201546926,1,1,FALSE,"n>=30"
273,0.551071601255089,0.492880961281307,9,-5.81906399737814,5,5,FALSE,"n<=9"
275,0.36116747491759,0.351437688596208,8,-0.972978632138216,2,2,FALSE,"n<=9"
276,0.556044524815655,0.457087910854863,19,-9.89566139607915,5,4,TRUE,"n=10-29"
277,0.461444775951267,0.478359827312558,10,1.69150513612907,4,5,TRUE,"n=10-29"
278,0.565152324330163,0.500558633930374,11,-6.45936903997889,5,5,FALSE,"n=10-29"
279,0.49882729897321,0.437364226362744,90,-6.14630726104665,5,4,TRUE,"n>=30"
280,0.56943948645719,0.452888603655161,17,-11.6550882802028,5,4,TRUE,"n=10-29"
281,0.372929322452074,0.394564406214211,28,2.16350837621372,2,3,TRUE,"n=10-29"
282,0.692155866591671,0.587214460840249,9,-10.4941405751422,5,5,FALSE,"n<=9"
