"paso","covariable","beta","beta_l","beta_u","p_beta_negativo","excluye_0"
"Diagnóstico (ESH)","Pobreza municipal (%)",-0.00735759770164175,-0.0116111843904279,-0.00323179658839206,0.99977201628907,TRUE
"Diagnóstico (AHA)","Pobreza municipal (%)",-0.00598866700907689,-0.00942895630396448,-0.00246039285032752,0.999436818979165,TRUE
"Diagnóstico (AHA)","Establecimientos de salud (n)",0.000436345136685236,-0.000168746227999615,0.00104013834148094,0.078174474402417,FALSE
"Control (ESH)","Pobreza municipal (%)",-0.00563836134941839,-0.0109296677013211,-0.000514168700911857,0.984791244996303,TRUE
"Control (ESH)","Establecimientos de salud (n)",0.000758192517749244,4.0566369521799e-05,0.00147486668837273,0.0192499193072088,TRUE
"Control (AHA)","Pobreza municipal (%)",-0.00797442515970679,-0.0137738168774484,-0.00228284695522648,0.997170268703085,TRUE
"Control (AHA)","Establecimientos de salud (n)",0.000383355006060749,-0.000386787916576081,0.00116387669298713,0.165334595937587,FALSE
