"muni_idx","obs","pred_bym2","pred_naive","n","vecinos_retenidos","estrato_vecinos"
290,0.714285714285714,0.669283575938757,0.646508443633044,21,4,"3+"
291,0.75,0.653615776955355,0.646508443633044,4,6,"3+"
292,0.454545454545455,0.704411371196703,0.646508443633044,11,1,"1-2"
293,0.454545454545455,0.649863942485211,0.646508443633044,11,3,"3+"
299,0.5,0.645290040228571,0.646508443633044,4,2,"1-2"
303,0,0.650197598937715,0.646508443633044,1,1,"1-2"
305,0.666666666666667,0.624835638230653,0.646508443633044,24,3,"3+"
308,0.666666666666667,0.652356626116564,0.646508443633044,3,4,"3+"
309,0.285714285714286,0.569288688846765,0.646508443633044,7,1,"1-2"
312,0.784313725490196,0.679194191503299,0.646508443633044,51,3,"3+"
314,0.666666666666667,0.611458612550428,0.646508443633044,6,2,"1-2"
316,0.615384615384615,0.651905779087411,0.646508443633044,26,4,"3+"
321,1,0.735195457210092,0.646508443633044,3,3,"3+"
322,0.75,0.729900146552866,0.646508443633044,8,3,"3+"
326,1,0.703783071586852,0.646508443633044,3,1,"1-2"
327,0,0.644960396008425,0.646508443633044,1,2,"1-2"
331,0.571428571428571,0.566056210612605,0.646508443633044,7,4,"3+"
332,0.7,0.601243805294265,0.646508443633044,110,5,"3+"
334,0.5,0.607837013322943,0.646508443633044,12,3,"3+"
336,0.555555555555556,0.579881374468865,0.646508443633044,9,6,"3+"
338,0.833333333333333,0.619934063730774,0.646508443633044,6,1,"1-2"
339,0.625,0.595202936946797,0.646508443633044,8,2,"1-2"
340,1,0.579915190208443,0.646508443633044,2,3,"3+"
341,0.666666666666667,0.635820054458032,0.646508443633044,6,1,"1-2"
342,0.857142857142857,0.600893635303987,0.646508443633044,14,6,"3+"
343,0.888888888888889,0.607494889342962,0.646508443633044,9,1,"1-2"
345,0.727272727272727,0.638434834814996,0.646508443633044,11,7,"3+"
347,0.757575757575758,0.618862020238834,0.646508443633044,33,5,"3+"
348,0.4,0.625740142808803,0.646508443633044,10,8,"3+"
349,0.5,0.584232066027274,0.646508443633044,2,4,"3+"
350,1,0.656415573608313,0.646508443633044,2,5,"3+"
351,0.8,0.66100578236699,0.646508443633044,5,4,"3+"
352,0.857142857142857,0.586309876305551,0.646508443633044,7,4,"3+"
353,1,0.685932519641623,0.646508443633044,2,6,"3+"
354,0.75,0.578249314673611,0.646508443633044,4,4,"3+"
355,1,0.577983600066089,0.646508443633044,2,2,"1-2"
356,0.25,0.619891569877525,0.646508443633044,4,2,"1-2"
357,0.75,0.597813712294479,0.646508443633044,4,2,"1-2"
359,0.642857142857143,0.6434526697601,0.646508443633044,14,4,"3+"
360,0.615384615384615,0.595295891272367,0.646508443633044,13,3,"3+"
361,0,0.612030317973248,0.646508443633044,1,2,"1-2"
363,0.571428571428571,0.640314453124383,0.646508443633044,7,3,"3+"
364,0.333333333333333,0.658138876531979,0.646508443633044,3,3,"3+"
365,0.25,0.564145323956835,0.646508443633044,4,6,"3+"
366,0.428571428571429,0.596176384450348,0.646508443633044,7,5,"3+"
367,0.7,0.564018496133583,0.646508443633044,10,3,"3+"
368,0.692307692307692,0.661990178204376,0.646508443633044,13,5,"3+"
370,1,0.719916029764269,0.646508443633044,1,4,"3+"
371,0.5,0.605138210123227,0.646508443633044,6,4,"3+"
373,0.722222222222222,0.638322855465435,0.646508443633044,18,5,"3+"
374,0.5,0.537831404621116,0.646508443633044,6,1,"1-2"
375,0.71875,0.658798905096805,0.646508443633044,32,4,"3+"
376,0.375,0.607678297693766,0.646508443633044,8,4,"3+"
378,0,0.565205935503804,0.646508443633044,1,1,"1-2"
385,1,0.56506063081028,0.646508443633044,1,3,"3+"
388,0.2,0.578919029600221,0.646508443633044,5,1,"1-2"
389,1,0.6711040956747,0.646508443633044,4,2,"1-2"
392,0.5,0.558467158830228,0.646508443633044,2,2,"1-2"
393,0.5,0.568981610888713,0.646508443633044,6,2,"1-2"
395,0.2,0.615644981349316,0.646508443633044,5,4,"3+"
398,0.5,0.655692292523272,0.646508443633044,6,5,"3+"
399,0.714285714285714,0.657244773118014,0.646508443633044,7,0,"0"
404,0.6,0.651377233620101,0.646508443633044,15,3,"3+"
412,1,0.71799164404661,0.646508443633044,4,1,"1-2"
415,0.75,0.652883059005229,0.646508443633044,4,3,"3+"
423,0,0.448091578305596,0.646508443633044,1,0,"0"
427,0.777777777777778,0.674309804955442,0.646508443633044,9,1,"1-2"
435,1,0.589280939978651,0.646508443633044,5,3,"3+"
437,0,0.675854067236919,0.646508443633044,1,4,"3+"
440,0.714285714285714,0.640407551387514,0.646508443633044,7,0,"0"
450,0,0.538592315466938,0.646508443633044,3,3,"3+"
455,0.833333333333333,0.764490279920036,0.646508443633044,6,1,"1-2"
463,0.5,0.710276902280973,0.646508443633044,6,1,"1-2"
466,0.5,0.62668148575701,0.646508443633044,2,0,"0"
468,0,0.576614210160863,0.646508443633044,1,1,"1-2"
474,0.25,0.666703967402073,0.646508443633044,4,0,"0"
475,0.5,0.679086540272757,0.646508443633044,2,0,"0"
477,0.454545454545455,0.574223362177994,0.646508443633044,11,0,"0"
482,0.666666666666667,0.621942370627355,0.646508443633044,3,1,"1-2"
488,0.666666666666667,0.627371897669921,0.646508443633044,3,2,"1-2"
491,0.5,0.691882413319915,0.646508443633044,4,3,"3+"
492,0.5,0.686757581069533,0.646508443633044,10,1,"1-2"
495,0.833333333333333,0.663653075482283,0.646508443633044,6,1,"1-2"
498,0,0.647910000458354,0.646508443633044,1,1,"1-2"
501,1,0.574954088225166,0.646508443633044,3,1,"1-2"
503,0.6,0.587214455923226,0.646508443633044,5,0,"0"
504,0.625,0.729745770367995,0.646508443633044,8,1,"1-2"
506,0.5,0.530185736842251,0.646508443633044,4,0,"0"
507,0.4,0.570896802987437,0.646508443633044,5,1,"1-2"
510,0,0.797799817470147,0.646508443633044,1,2,"1-2"
523,0.555555555555556,0.609195171196113,0.646508443633044,9,1,"1-2"
527,1,0.657895294553044,0.646508443633044,1,0,"0"
532,1,0.659053898391604,0.646508443633044,1,2,"1-2"
543,0.857142857142857,0.624520057638909,0.646508443633044,7,2,"1-2"
549,0.625,0.664332958996187,0.646508443633044,8,2,"1-2"
559,0.8,0.666393702006392,0.646508443633044,5,3,"3+"
570,0.75,0.719268779575732,0.646508443633044,8,3,"3+"
580,0.333333333333333,0.669244036567537,0.646508443633044,12,4,"3+"
588,0,0.667160204535703,0.646508443633044,1,1,"1-2"
591,1,0.598723918953146,0.646508443633044,3,0,"0"
596,0,0.744232492941,0.646508443633044,1,0,"0"
597,0.7,0.693441411459525,0.646508443633044,20,2,"1-2"
603,1,0.764723277842632,0.646508443633044,1,0,"0"
607,0.5,0.756038284805158,0.646508443633044,2,1,"1-2"
616,0,0.664562973356064,0.646508443633044,5,1,"1-2"
634,1,0.616189493690671,0.646508443633044,1,0,"0"
640,0.333333333333333,0.685317001217877,0.646508443633044,3,3,"3+"
647,0.5,0.70389827840801,0.646508443633044,4,0,"0"
662,1,0.752627256831738,0.646508443633044,1,3,"3+"
666,0.75,0.741793769128499,0.646508443633044,4,2,"1-2"
671,1,0.62937781579481,0.646508443633044,5,2,"1-2"
677,0.666666666666667,0.624027298668554,0.646508443633044,3,1,"1-2"
678,1,0.513205441573876,0.646508443633044,1,1,"1-2"
681,0.428571428571429,0.641068662863864,0.646508443633044,7,3,"3+"
682,1,0.694629745469412,0.646508443633044,2,1,"1-2"
683,0,0.571651474549245,0.646508443633044,4,0,"0"
688,0.555555555555556,0.59646119751397,0.646508443633044,9,5,"3+"
692,0.375,0.621858161242365,0.646508443633044,8,3,"3+"
694,0,0.711278726438832,0.646508443633044,3,0,"0"
695,0,0.598828532333037,0.646508443633044,1,1,"1-2"
698,0.772727272727273,0.656072345423519,0.646508443633044,22,5,"3+"
699,0.666666666666667,0.642820279816881,0.646508443633044,3,0,"0"
705,0.833333333333333,0.748794186208575,0.646508443633044,6,4,"3+"
707,0.5,0.555619831509103,0.646508443633044,2,1,"1-2"
708,0.5,0.626482629669308,0.646508443633044,4,4,"3+"
709,1,0.455946303327659,0.646508443633044,1,0,"0"
710,1,0.623030355930726,0.646508443633044,1,3,"3+"
718,0.6,0.671515859195471,0.646508443633044,5,6,"3+"
719,0.888888888888889,0.602237647773511,0.646508443633044,9,2,"1-2"
720,0.769230769230769,0.664408584515211,0.646508443633044,13,3,"3+"
725,0.25,0.658333711567517,0.646508443633044,4,6,"3+"
734,1,0.67740528322353,0.646508443633044,3,5,"3+"
736,0.636363636363636,0.625037269504088,0.646508443633044,11,3,"3+"
738,0.454545454545455,0.651258255691091,0.646508443633044,11,3,"3+"
743,0.666666666666667,0.677121034038355,0.646508443633044,12,6,"3+"
749,0,0.589187331545561,0.646508443633044,1,1,"1-2"
750,0.8,0.654821040847299,0.646508443633044,5,0,"0"
751,0.6,0.586503371114082,0.646508443633044,5,5,"3+"
759,0.333333333333333,0.617307635447846,0.646508443633044,3,4,"3+"
760,0.142857142857143,0.600030148190399,0.646508443633044,7,3,"3+"
761,1,0.589386554099672,0.646508443633044,8,5,"3+"
766,0.5,0.635846421042573,0.646508443633044,2,1,"1-2"
770,0.652173913043478,0.656828184055746,0.646508443633044,23,7,"3+"
771,1,0.66659468670559,0.646508443633044,3,2,"1-2"
774,1,0.703725989303374,0.646508443633044,6,1,"1-2"
776,0,0.578000250440009,0.646508443633044,1,1,"1-2"
777,0.666666666666667,0.511620712782136,0.646508443633044,3,1,"1-2"
778,0.666666666666667,0.742759557693076,0.646508443633044,3,3,"3+"
788,0.709677419354839,0.629434532818962,0.646508443633044,31,6,"3+"
789,0.888888888888889,0.62864892890724,0.646508443633044,9,3,"3+"
792,0.6,0.663770470813906,0.646508443633044,5,0,"0"
793,0.625,0.593585617902463,0.646508443633044,8,2,"1-2"
795,0.5,0.547894267495122,0.646508443633044,2,4,"3+"
802,0.333333333333333,0.628419817295272,0.646508443633044,3,1,"1-2"
809,0.428571428571429,0.580763665876835,0.646508443633044,7,0,"0"
819,0.75,0.665282168535022,0.646508443633044,4,1,"1-2"
821,0.333333333333333,0.531567237345813,0.646508443633044,3,0,"0"
824,0.5,0.62934988561874,0.646508443633044,6,2,"1-2"
828,0.625,0.59762290617271,0.646508443633044,8,0,"0"
837,1,0.6882734940796,0.646508443633044,2,2,"1-2"
839,0.666666666666667,0.621959935423926,0.646508443633044,3,1,"1-2"
850,0.333333333333333,0.733068431579434,0.646508443633044,3,0,"0"
851,1,0.634940048047435,0.646508443633044,10,0,"0"
852,0.466666666666667,0.693681865653318,0.646508443633044,15,2,"1-2"
854,0.75,0.538366942037369,0.646508443633044,4,0,"0"
858,0.692307692307692,0.639220841676661,0.646508443633044,13,0,"0"
867,1,0.710269983762595,0.646508443633044,3,1,"1-2"
873,0,0.512679814215086,0.646508443633044,1,0,"0"
877,0.8,0.610424229034065,0.646508443633044,5,0,"0"
883,0.333333333333333,0.556055480720401,0.646508443633044,3,1,"1-2"
885,0.2,0.639311199626753,0.646508443633044,5,3,"3+"
886,0.666666666666667,0.541892410618546,0.646508443633044,3,0,"0"
889,0,0.613043396090193,0.646508443633044,2,1,"1-2"
894,0.5,0.704427921014055,0.646508443633044,4,1,"1-2"
902,0.333333333333333,0.65851617917254,0.646508443633044,6,3,"3+"
906,0.5,0.700318640417363,0.646508443633044,2,1,"1-2"
910,0.461538461538462,0.621072690535935,0.646508443633044,13,1,"1-2"
911,0.4,0.675187476261064,0.646508443633044,5,2,"1-2"
915,1,0.606765299937232,0.646508443633044,7,4,"3+"
916,1,0.664443537203734,0.646508443633044,1,1,"1-2"
917,1,0.601190240915915,0.646508443633044,1,1,"1-2"
919,0.5,0.630580159163265,0.646508443633044,2,5,"3+"
921,0.5,0.638785966395865,0.646508443633044,4,4,"3+"
926,1,0.715898080827577,0.646508443633044,5,3,"3+"
928,0.555555555555556,0.605914957359865,0.646508443633044,9,2,"1-2"
931,0.5,0.649494791881713,0.646508443633044,2,2,"1-2"
933,0.882352941176471,0.636362803266693,0.646508443633044,17,2,"1-2"
934,0,0.677317410422223,0.646508443633044,1,2,"1-2"
935,0.666666666666667,0.628117333079512,0.646508443633044,3,2,"1-2"
936,0.428571428571429,0.641774391966765,0.646508443633044,7,3,"3+"
937,0.5,0.740157328032833,0.646508443633044,2,2,"1-2"
938,0.75,0.65315116379978,0.646508443633044,4,6,"3+"
939,0.65,0.656677869823861,0.646508443633044,20,5,"3+"
940,0,0.608530319200959,0.646508443633044,1,1,"1-2"
941,0.875,0.61427254963087,0.646508443633044,8,6,"3+"
943,0.5,0.624360138887717,0.646508443633044,2,1,"1-2"
948,0.833333333333333,0.65825580003092,0.646508443633044,6,1,"1-2"
949,0.771428571428571,0.694150764800444,0.646508443633044,35,3,"3+"
952,0.666666666666667,0.703768334922017,0.646508443633044,3,1,"1-2"
953,0.666666666666667,0.687286257911854,0.646508443633044,3,2,"1-2"
954,0.8,0.749380061980107,0.646508443633044,5,3,"3+"
956,0.785714285714286,0.649253033005228,0.646508443633044,14,1,"1-2"
957,0,0.637665028452306,0.646508443633044,1,3,"3+"
958,0.875,0.622000664487601,0.646508443633044,8,4,"3+"
959,0.833333333333333,0.633617703289267,0.646508443633044,6,3,"3+"
960,1,0.665487500266287,0.646508443633044,1,2,"1-2"
963,0.857142857142857,0.710284118431638,0.646508443633044,7,1,"1-2"
964,1,0.65003122739337,0.646508443633044,2,2,"1-2"
966,0.5,0.695238824073446,0.646508443633044,10,2,"1-2"
967,0.5,0.615078156129744,0.646508443633044,4,1,"1-2"
971,0,0.64627899974309,0.646508443633044,2,2,"1-2"
972,0.428571428571429,0.692850131168751,0.646508443633044,7,2,"1-2"
973,0.875,0.670081028516009,0.646508443633044,8,3,"3+"
974,0.5,0.665008719086753,0.646508443633044,6,2,"1-2"
975,0.733333333333333,0.679338507347062,0.646508443633044,15,2,"1-2"
980,0.735849056603774,0.671057709576673,0.646508443633044,53,8,"3+"
981,0.727272727272727,0.692233243717039,0.646508443633044,22,3,"3+"
985,0.518518518518518,0.667129284107108,0.646508443633044,27,4,"3+"
