"Año","n Entrevistados","n Base analítica final","n Municipios distintos","n HTA-ESH","n HTA-AHA","n Diagnosticados","n Tratados","% enlace integrantes (escolaridad)"
"2021",13402,8067,281,2368,3630,1608,1349,100
"2022",11913,8639,277,2789,4183,1778,1529,100
"2023",6772,3108,170,1017,1505,692,568,100
"2024",12924,5275,275,1582,2293,1126,943,100
"Total pooled 2021-2024",45011,25089,599,7756,11611,5204,4389,NA
